game,draw_id,tier_code,tier_name,ordinal,number
lotto535,00553,main,Main numbers,1,4
lotto535,00553,main,Main numbers,2,14
lotto535,00553,main,Main numbers,3,22
lotto535,00553,main,Main numbers,4,31
lotto535,00553,main,Main numbers,5,34
lotto535,00553,bonus,Bonus numbers,1,7
lotto535,00554,main,Main numbers,1,12
lotto535,00554,main,Main numbers,2,13
lotto535,00554,main,Main numbers,3,18
lotto535,00554,main,Main numbers,4,23
lotto535,00554,main,Main numbers,5,24
lotto535,00554,bonus,Bonus numbers,1,3
lotto535,00555,main,Main numbers,1,4
lotto535,00555,main,Main numbers,2,6
lotto535,00555,main,Main numbers,3,21
lotto535,00555,main,Main numbers,4,25
lotto535,00555,main,Main numbers,5,30
lotto535,00555,bonus,Bonus numbers,1,5
lotto535,00556,main,Main numbers,1,15
lotto535,00556,main,Main numbers,2,19
lotto535,00556,main,Main numbers,3,20
lotto535,00556,main,Main numbers,4,26
lotto535,00556,main,Main numbers,5,29
lotto535,00556,bonus,Bonus numbers,1,7
lotto535,00557,main,Main numbers,1,14
lotto535,00557,main,Main numbers,2,18
lotto535,00557,main,Main numbers,3,23
lotto535,00557,main,Main numbers,4,25
lotto535,00557,main,Main numbers,5,27
lotto535,00557,bonus,Bonus numbers,1,1
lotto535,00558,main,Main numbers,1,18
lotto535,00558,main,Main numbers,2,22
lotto535,00558,main,Main numbers,3,28
lotto535,00558,main,Main numbers,4,32
lotto535,00558,main,Main numbers,5,35
lotto535,00558,bonus,Bonus numbers,1,3
lotto535,00559,main,Main numbers,1,3
lotto535,00559,main,Main numbers,2,9
lotto535,00559,main,Main numbers,3,15
lotto535,00559,main,Main numbers,4,19
lotto535,00559,main,Main numbers,5,31
lotto535,00559,bonus,Bonus numbers,1,1
lotto535,00560,main,Main numbers,1,3
lotto535,00560,main,Main numbers,2,18
lotto535,00560,main,Main numbers,3,19
lotto535,00560,main,Main numbers,4,24
lotto535,00560,main,Main numbers,5,27
lotto535,00560,bonus,Bonus numbers,1,6
lotto535,00561,main,Main numbers,1,6
lotto535,00561,main,Main numbers,2,10
lotto535,00561,main,Main numbers,3,11
lotto535,00561,main,Main numbers,4,18
lotto535,00561,main,Main numbers,5,25
lotto535,00561,bonus,Bonus numbers,1,7
lotto535,00562,main,Main numbers,1,13
lotto535,00562,main,Main numbers,2,14
lotto535,00562,main,Main numbers,3,25
lotto535,00562,main,Main numbers,4,26
lotto535,00562,main,Main numbers,5,29
lotto535,00562,bonus,Bonus numbers,1,1
lotto535,00563,main,Main numbers,1,3
lotto535,00563,main,Main numbers,2,13
lotto535,00563,main,Main numbers,3,16
lotto535,00563,main,Main numbers,4,33
lotto535,00563,main,Main numbers,5,34
lotto535,00563,bonus,Bonus numbers,1,4
lotto535,00564,main,Main numbers,1,11
lotto535,00564,main,Main numbers,2,17
lotto535,00564,main,Main numbers,3,22
lotto535,00564,main,Main numbers,4,25
lotto535,00564,main,Main numbers,5,28
lotto535,00564,bonus,Bonus numbers,1,4
lotto535,00565,main,Main numbers,1,9
lotto535,00565,main,Main numbers,2,18
lotto535,00565,main,Main numbers,3,21
lotto535,00565,main,Main numbers,4,26
lotto535,00565,main,Main numbers,5,34
lotto535,00565,bonus,Bonus numbers,1,4
lotto535,00566,main,Main numbers,1,1
lotto535,00566,main,Main numbers,2,8
lotto535,00566,main,Main numbers,3,12
lotto535,00566,main,Main numbers,4,20
lotto535,00566,main,Main numbers,5,28
lotto535,00566,bonus,Bonus numbers,1,2
lotto535,00567,main,Main numbers,1,10
lotto535,00567,main,Main numbers,2,16
lotto535,00567,main,Main numbers,3,19
lotto535,00567,main,Main numbers,4,22
lotto535,00567,main,Main numbers,5,32
lotto535,00567,bonus,Bonus numbers,1,12
lotto535,00568,main,Main numbers,1,19
lotto535,00568,main,Main numbers,2,20
lotto535,00568,main,Main numbers,3,21
lotto535,00568,main,Main numbers,4,26
lotto535,00568,main,Main numbers,5,31
lotto535,00568,bonus,Bonus numbers,1,5
lotto535,00569,main,Main numbers,1,1
lotto535,00569,main,Main numbers,2,7
lotto535,00569,main,Main numbers,3,18
lotto535,00569,main,Main numbers,4,33
lotto535,00569,main,Main numbers,5,34
lotto535,00569,bonus,Bonus numbers,1,1
lotto535,00570,main,Main numbers,1,8
lotto535,00570,main,Main numbers,2,10
lotto535,00570,main,Main numbers,3,11
lotto535,00570,main,Main numbers,4,22
lotto535,00570,main,Main numbers,5,30
lotto535,00570,bonus,Bonus numbers,1,2
lotto535,00571,main,Main numbers,1,8
lotto535,00571,main,Main numbers,2,17
lotto535,00571,main,Main numbers,3,21
lotto535,00571,main,Main numbers,4,31
lotto535,00571,main,Main numbers,5,35
lotto535,00571,bonus,Bonus numbers,1,5
lotto535,00572,main,Main numbers,1,7
lotto535,00572,main,Main numbers,2,15
lotto535,00572,main,Main numbers,3,19
lotto535,00572,main,Main numbers,4,23
lotto535,00572,main,Main numbers,5,24
lotto535,00572,bonus,Bonus numbers,1,6
lotto535,00573,main,Main numbers,1,7
lotto535,00573,main,Main numbers,2,13
lotto535,00573,main,Main numbers,3,15
lotto535,00573,main,Main numbers,4,19
lotto535,00573,main,Main numbers,5,32
lotto535,00573,bonus,Bonus numbers,1,9
lotto535,00574,main,Main numbers,1,3
lotto535,00574,main,Main numbers,2,6
lotto535,00574,main,Main numbers,3,8
lotto535,00574,main,Main numbers,4,20
