game,draw_id,prize_code,prize_name,amount_vnd,winner_count,jackpot_vnd
max3d,01109,giai-dac-biet,Giải Đặc biệt,1000000000,,
max3d,01109,giai-nhat,Giải Nhất,40000000,,
max3d,01109,giai-nhi,Giải Nhì,10000000,,
max3d,01109,giai-ba,Giải Ba,5000000,,
max3d,01109,giai-tu,Giải tư,1000000,,
max3d,01109,giai-nam,Giải năm,150000,,
max3d,01109,giai-sau,Giải sáu,40000,,
max3d,01110,giai-dac-biet,Giải Đặc biệt,1000000000,,
max3d,01110,giai-nhat,Giải Nhất,40000000,,
max3d,01110,giai-nhi,Giải Nhì,10000000,,
max3d,01110,giai-ba,Giải Ba,5000000,,
max3d,01110,giai-tu,Giải tư,1000000,,
max3d,01110,giai-nam,Giải năm,150000,,
max3d,01110,giai-sau,Giải sáu,40000,,
max3d,01111,giai-dac-biet,Giải Đặc biệt,1000000000,,
max3d,01111,giai-nhat,Giải Nhất,40000000,,
max3d,01111,giai-nhi,Giải Nhì,10000000,,
max3d,01111,giai-ba,Giải Ba,5000000,,
max3d,01111,giai-tu,Giải tư,1000000,,
max3d,01111,giai-nam,Giải năm,150000,,
max3d,01111,giai-sau,Giải sáu,40000,,
max3d,01112,giai-dac-biet,Giải Đặc biệt,1000000000,,
max3d,01112,giai-nhat,Giải Nhất,40000000,,
max3d,01112,giai-nhi,Giải Nhì,10000000,,
max3d,01112,giai-ba,Giải Ba,5000000,,
max3d,01112,giai-tu,Giải tư,1000000,,
max3d,01112,giai-nam,Giải năm,150000,,
max3d,01112,giai-sau,Giải sáu,40000,,
max3d,01113,giai-dac-biet,Giải Đặc biệt,1000000000,,
max3d,01113,giai-nhat,Giải Nhất,40000000,,
max3d,01113,giai-nhi,Giải Nhì,10000000,,
max3d,01113,giai-ba,Giải Ba,5000000,,
max3d,01113,giai-tu,Giải tư,1000000,,
max3d,01113,giai-nam,Giải năm,150000,,
max3d,01113,giai-sau,Giải sáu,40000,,
