game,draw_id,prize_code,prize_name,amount_vnd,winner_count,jackpot_vnd
max3d_pro,00756,giai-dac-biet,Giải Đặc biệt,2000000000,,
max3d_pro,00756,giai-phu-dac-biet,Giải phụ Đặc biệt,400000000,,
max3d_pro,00756,giai-nhat,Giải Nhất,30000000,,
max3d_pro,00756,giai-nhi,Giải Nhì,10000000,,
max3d_pro,00756,giai-ba,Giải Ba,4000000,,
max3d_pro,00756,giai-tu,Giải tư,1000000,,
max3d_pro,00756,giai-nam,Giải năm,100000,,
max3d_pro,00756,giai-sau,Giải sáu,40000,,
max3d_pro,00757,giai-dac-biet,Giải Đặc biệt,2000000000,,
max3d_pro,00757,giai-phu-dac-biet,Giải phụ Đặc biệt,400000000,,
max3d_pro,00757,giai-nhat,Giải Nhất,30000000,,
max3d_pro,00757,giai-nhi,Giải Nhì,10000000,,
max3d_pro,00757,giai-ba,Giải Ba,4000000,,
max3d_pro,00757,giai-tu,Giải tư,1000000,,
max3d_pro,00757,giai-nam,Giải năm,100000,,
max3d_pro,00757,giai-sau,Giải sáu,40000,,
max3d_pro,00758,giai-dac-biet,Giải Đặc biệt,2000000000,,
max3d_pro,00758,giai-phu-dac-biet,Giải phụ Đặc biệt,400000000,,
max3d_pro,00758,giai-nhat,Giải Nhất,30000000,,
max3d_pro,00758,giai-nhi,Giải Nhì,10000000,,
max3d_pro,00758,giai-ba,Giải Ba,4000000,,
max3d_pro,00758,giai-tu,Giải tư,1000000,,
max3d_pro,00758,giai-nam,Giải năm,100000,,
max3d_pro,00758,giai-sau,Giải sáu,40000,,
max3d_pro,00759,giai-dac-biet,Giải Đặc biệt,2000000000,,
max3d_pro,00759,giai-phu-dac-biet,Giải phụ Đặc biệt,400000000,,
max3d_pro,00759,giai-nhat,Giải Nhất,30000000,,
max3d_pro,00759,giai-nhi,Giải Nhì,10000000,,
max3d_pro,00759,giai-ba,Giải Ba,4000000,,
max3d_pro,00759,giai-tu,Giải tư,1000000,,
max3d_pro,00759,giai-nam,Giải năm,100000,,
max3d_pro,00759,giai-sau,Giải sáu,40000,,
max3d_pro,00760,giai-dac-biet,Giải Đặc biệt,2000000000,,
max3d_pro,00760,giai-phu-dac-biet,Giải phụ Đặc biệt,400000000,,
max3d_pro,00760,giai-nhat,Giải Nhất,30000000,,
max3d_pro,00760,giai-nhi,Giải Nhì,10000000,,
max3d_pro,00760,giai-ba,Giải Ba,4000000,,
max3d_pro,00760,giai-tu,Giải tư,1000000,,
max3d_pro,00760,giai-nam,Giải năm,100000,,
max3d_pro,00760,giai-sau,Giải sáu,40000,,
