game,draw_id,tier_code,tier_name,ordinal,number
max3d_pro,00511,special,Giải Đặc biệt,1,026
max3d_pro,00511,special,Giải Đặc biệt,2,664
max3d_pro,00511,first,Giải Nhất,1,347
max3d_pro,00511,first,Giải Nhất,2,291
max3d_pro,00511,first,Giải Nhất,3,397
max3d_pro,00511,first,Giải Nhất,4,308
max3d_pro,00511,second,Giải Nhì,1,805
max3d_pro,00511,second,Giải Nhì,2,121
max3d_pro,00511,second,Giải Nhì,3,762
max3d_pro,00511,second,Giải Nhì,4,043
max3d_pro,00511,second,Giải Nhì,5,902
max3d_pro,00511,second,Giải Nhì,6,382
max3d_pro,00511,third,Giải Ba,1,561
max3d_pro,00511,third,Giải Ba,2,530
max3d_pro,00511,third,Giải Ba,3,065
max3d_pro,00511,third,Giải Ba,4,463
max3d_pro,00511,third,Giải Ba,5,619
max3d_pro,00511,third,Giải Ba,6,013
max3d_pro,00511,third,Giải Ba,7,497
max3d_pro,00511,third,Giải Ba,8,427
max3d_pro,00512,special,Giải Đặc biệt,1,516
max3d_pro,00512,special,Giải Đặc biệt,2,813
max3d_pro,00512,first,Giải Nhất,1,545
max3d_pro,00512,first,Giải Nhất,2,082
max3d_pro,00512,first,Giải Nhất,3,259
max3d_pro,00512,first,Giải Nhất,4,087
max3d_pro,00512,second,Giải Nhì,1,973
max3d_pro,00512,second,Giải Nhì,2,571
max3d_pro,00512,second,Giải Nhì,3,884
max3d_pro,00512,second,Giải Nhì,4,663
max3d_pro,00512,second,Giải Nhì,5,624
max3d_pro,00512,second,Giải Nhì,6,105
max3d_pro,00512,third,Giải Ba,1,408
max3d_pro,00512,third,Giải Ba,2,991
max3d_pro,00512,third,Giải Ba,3,100
max3d_pro,00512,third,Giải Ba,4,790
max3d_pro,00512,third,Giải Ba,5,511
max3d_pro,00512,third,Giải Ba,6,746
max3d_pro,00512,third,Giải Ba,7,172
max3d_pro,00512,third,Giải Ba,8,656
max3d_pro,00513,special,Giải Đặc biệt,1,391
max3d_pro,00513,special,Giải Đặc biệt,2,372
max3d_pro,00513,first,Giải Nhất,1,217
max3d_pro,00513,first,Giải Nhất,2,584
max3d_pro,00513,first,Giải Nhất,3,610
max3d_pro,00513,first,Giải Nhất,4,530
max3d_pro,00513,second,Giải Nhì,1,585
max3d_pro,00513,second,Giải Nhì,2,909
max3d_pro,00513,second,Giải Nhì,3,619
max3d_pro,00513,second,Giải Nhì,4,855
max3d_pro,00513,second,Giải Nhì,5,072
max3d_pro,00513,second,Giải Nhì,6,653
max3d_pro,00513,third,Giải Ba,1,872
max3d_pro,00513,third,Giải Ba,2,183
max3d_pro,00513,third,Giải Ba,3,025
max3d_pro,00513,third,Giải Ba,4,291
max3d_pro,00513,third,Giải Ba,5,629
max3d_pro,00513,third,Giải Ba,6,987
max3d_pro,00513,third,Giải Ba,7,615
max3d_pro,00513,third,Giải Ba,8,700
max3d_pro,00514,special,Giải Đặc biệt,1,195
max3d_pro,00514,special,Giải Đặc biệt,2,590
max3d_pro,00514,first,Giải Nhất,1,325
max3d_pro,00514,first,Giải Nhất,2,511
max3d_pro,00514,first,Giải Nhất,3,295
max3d_pro,00514,first,Giải Nhất,4,014
max3d_pro,00514,second,Giải Nhì,1,630
max3d_pro,00514,second,Giải Nhì,2,056
max3d_pro,00514,second,Giải Nhì,3,183
max3d_pro,00514,second,Giải Nhì,4,858
max3d_pro,00514,second,Giải Nhì,5,337
max3d_pro,00514,second,Giải Nhì,6,983
max3d_pro,00514,third,Giải Ba,1,523
max3d_pro,00514,third,Giải Ba,2,193
max3d_pro,00514,third,Giải Ba,3,400
max3d_pro,00514,third,Giải Ba,4,103
max3d_pro,00514,third,Giải Ba,5,631
max3d_pro,00514,third,Giải Ba,6,276
max3d_pro,00514,third,Giải Ba,7,472
max3d_pro,00514,third,Giải Ba,8,838
max3d_pro,00515,special,Giải Đặc biệt,1,706
max3d_pro,00515,special,Giải Đặc biệt,2,007
max3d_pro,00515,first,Giải Nhất,1,392
max3d_pro,00515,first,Giải Nhất,2,768
max3d_pro,00515,first,Giải Nhất,3,359
max3d_pro,00515,first,Giải Nhất,4,746
max3d_pro,00515,second,Giải Nhì,1,959
max3d_pro,00515,second,Giải Nhì,2,988
max3d_pro,00515,second,Giải Nhì,3,100
max3d_pro,00515,second,Giải Nhì,4,826
max3d_pro,00515,second,Giải Nhì,5,676
max3d_pro,00515,second,Giải Nhì,6,031
max3d_pro,00515,third,Giải Ba,1,728
max3d_pro,00515,third,Giải Ba,2,927
max3d_pro,00515,third,Giải Ba,3,424
max3d_pro,00515,third,Giải Ba,4,297
max3d_pro,00515,third,Giải Ba,5,680
max3d_pro,00515,third,Giải Ba,6,422
max3d_pro,00515,third,Giải Ba,7,654
max3d_pro,00515,third,Giải Ba,8,531
max3d_pro,00516,special,Giải Đặc biệt,1,134
max3d_pro,00516,special,Giải Đặc biệt,2,281
max3d_pro,00516,first,Giải Nhất,1,415
max3d_pro,00516,first,Giải Nhất,2,036
max3d_pro,00516,first,Giải Nhất,3,235
max3d_pro,00516,first,Giải Nhất,4,797
max3d_pro,00516,second,Giải Nhì,1,027
max3d_pro,00516,second,Giải Nhì,2,590
max3d_pro,00516,second,Giải Nhì,3,806
max3d_pro,00516,second,Giải Nhì,4,638
max3d_pro,00516,second,Giải Nhì,5,382
max3d_pro,00516,second,Giải Nhì,6,804
max3d_pro,00516,third,Giải Ba,1,471
max3d_pro,00516,third,Giải Ba,2,236
max3d_pro,00516,third,Giải Ba,3,802
max3d_pro,00516,third,Giải Ba,4,457
max3d_pro,00516,third,Giải Ba,5,507
max3d_pro,00516,third,Giải Ba,6,160
max3d_pro,00516,third,Giải Ba,7,539
max3d_pro,00516,third,Giải Ba,8,220
max3d_pro,00517,special,Giải Đặc biệt,1,859
max3d_pro,00517,special,Giải Đặc biệt,2,210
max3d_pro,00517,first,Giải Nhất,1,923
max3d_pro,00517,first,Giải Nhất,2,109
max3d_pro,00517,first,Giải Nhất,3,190
max3d_pro,00517,first,Giải Nhất,4,130
max3d_pro,00517,second,Giải Nhì,1,814
max3d_pro,00517,second,Giải Nhì,2,544
max3d_pro,00517,second,Giải Nhì,3,063
max3d_pro,00517,second,Giải Nhì,4,599
max3d_pro,00517,second,Giải Nhì,5,455
max3d_pro,00517,second,Giải Nhì,6,195
max3d_pro,00517,third,Giải Ba,1,669
max3d_pro,00517,third,Giải Ba,2,836
max3d_pro,00517,third,Giải Ba,3,102
max3d_pro,00517,third,Giải Ba,4,461
max3d_pro,00517,third,Giải Ba,5,782
max3d_pro,00517,third,Giải Ba,6,625
max3d_pro,00517,third,Giải Ba,7,687
max3d_pro,00517,third,Giải Ba,8,390
max3d_pro,00518,special,Giải Đặc biệt,1,302
max3d_pro,00518,special,Giải Đặc biệt,2,976
max3d_pro,00518,first,Giải Nhất,1,535
max3d_pro,00518,first,Giải Nhất,2,253
max3d_pro,00518,first,Giải Nhất,3,219
max3d_pro,00518,first,Giải Nhất,4,697
max3d_pro,00518,second,Giải Nhì,1,869
max3d_pro,00518,second,Giải Nhì,2,056
max3d_pro,00518,second,Giải Nhì,3,748
max3d_pro,00518,second,Giải Nhì,4,083
max3d_pro,00518,second,Giải Nhì,5,263
max3d_pro,00518,second,Giải Nhì,6,505
max3d_pro,00518,third,Giải Ba,1,520
max3d_pro,00518,third,Giải Ba,2,910
max3d_pro,00518,third,Giải Ba,3,364
max3d_pro,00518,third,Giải Ba,4,401
max3d_pro,00518,third,Giải Ba,5,470
max3d_pro,00518,third,Giải Ba,6,351
max3d_pro,00518,third,Giải Ba,7,718
max3d_pro,00518,third,Giải Ba,8,437
max3d_pro,00519,special,Giải Đặc biệt,1,542
max3d_pro,00519,special,Giải Đặc biệt,2,402
max3d_pro,00519,first,Giải Nhất,1,287
max3d_pro,00519,first,Giải Nhất,2,907
max3d_pro,00519,first,Giải Nhất,3,179
max3d_pro,00519,first,Giải Nhất,4,046
max3d_pro,00519,second,Giải Nhì,1,727
max3d_pro,00519,second,Giải Nhì,2,052
max3d_pro,00519,second,Giải Nhì,3,980
max3d_pro,00519,second,Giải Nhì,4,235
max3d_pro,00519,second,Giải Nhì,5,815
max3d_pro,00519,second,Giải Nhì,6,126
max3d_pro,00519,third,Giải Ba,1,791
max3d_pro,00519,third,Giải Ba,2,665
max3d_pro,00519,third,Giải Ba,3,132
max3d_pro,00519,third,Giải Ba,4,650
max3d_pro,00519,third,Giải Ba,5,175
max3d_pro,00519,third,Giải Ba,6,608
max3d_pro,00519,third,Giải Ba,7,907
max3d_pro,00519,third,Giải Ba,8,643
max3d_pro,00520,special,Giải Đặc biệt,1,907
