game,draw_id,prize_code,prize_name,amount_vnd,winner_count,jackpot_vnd
mega645,00001,jackpot,Jackpot,,0,12357724500
mega645,00001,giai-nhat,Giải Nhất,10000000,3,
mega645,00001,giai-nhi,Giải Nhì,300000,222,
mega645,00001,giai-ba,Giải Ba,30000,4242,
mega645,00002,jackpot,Jackpot,,0,12858704500
mega645,00002,giai-nhat,Giải Nhất,10000000,1,
mega645,00002,giai-nhi,Giải Nhì,300000,148,
mega645,00002,giai-ba,Giải Ba,30000,3276,
mega645,00003,jackpot,Jackpot,,0,13271044500
mega645,00003,giai-nhat,Giải Nhất,10000000,5,
mega645,00003,giai-nhi,Giải Nhì,300000,323,
mega645,00003,giai-ba,Giải Ba,30000,5182,
mega645,00004,jackpot,Jackpot,,0,13942033000
mega645,00004,giai-nhat,Giải Nhất,10000000,5,
mega645,00004,giai-nhi,Giải Nhì,300000,333,
mega645,00004,giai-ba,Giải Ba,30000,5431,
mega645,00005,jackpot,Jackpot,,0,14565346500
mega645,00005,giai-nhat,Giải Nhất,10000000,5,
mega645,00005,giai-nhi,Giải Nhì,300000,310,
mega645,00005,giai-ba,Giải Ba,30000,5170,
mega645,00006,jackpot,Jackpot,,0,15121387000
mega645,00006,giai-nhat,Giải Nhất,10000000,5,
mega645,00006,giai-nhi,Giải Nhì,300000,446,
mega645,00006,giai-ba,Giải Ba,30000,7000,
mega645,00007,jackpot,Jackpot,,0,15791342500
mega645,00007,giai-nhat,Giải Nhất,10000000,12,
mega645,00007,giai-nhi,Giải Nhì,300000,496,
mega645,00007,giai-ba,Giải Ba,30000,7254,
mega645,00008,jackpot,Jackpot,,0,16409266000
mega645,00008,giai-nhat,Giải Nhất,10000000,9,
mega645,00008,giai-nhi,Giải Nhì,300000,513,
mega645,00008,giai-ba,Giải Ba,30000,8032,
mega645,00009,jackpot,Jackpot,,0,17164580000
mega645,00009,giai-nhat,Giải Nhất,10000000,6,
mega645,00009,giai-nhi,Giải Nhì,300000,351,
mega645,00009,giai-ba,Giải Ba,30000,5788,
mega645,00010,jackpot,Jackpot,,0,17952978000
mega645,00010,giai-nhat,Giải Nhất,10000000,9,
mega645,00010,giai-nhi,Giải Nhì,300000,557,
mega645,00010,giai-ba,Giải Ba,30000,9195,
mega645,00011,jackpot,Jackpot,,0,18841509500
mega645,00011,giai-nhat,Giải Nhất,10000000,6,
mega645,00011,giai-nhi,Giải Nhì,300000,350,
mega645,00011,giai-ba,Giải Ba,30000,6440,
mega645,00012,jackpot,Jackpot,,0,19290861000
mega645,00012,giai-nhat,Giải Nhất,10000000,26,
mega645,00012,giai-nhi,Giải Nhì,300000,902,
