game,draw_id,tier_code,tier_name,ordinal,number
mega645,01025,main,Main numbers,1,4
mega645,01025,main,Main numbers,2,8
mega645,01025,main,Main numbers,3,12
mega645,01025,main,Main numbers,4,15
mega645,01025,main,Main numbers,5,19
mega645,01025,main,Main numbers,6,43
mega645,01026,main,Main numbers,1,9
mega645,01026,main,Main numbers,2,14
mega645,01026,main,Main numbers,3,22
mega645,01026,main,Main numbers,4,29
mega645,01026,main,Main numbers,5,39
mega645,01026,main,Main numbers,6,41
mega645,01027,main,Main numbers,1,12
mega645,01027,main,Main numbers,2,15
mega645,01027,main,Main numbers,3,25
mega645,01027,main,Main numbers,4,30
mega645,01027,main,Main numbers,5,34
mega645,01027,main,Main numbers,6,39
mega645,01028,main,Main numbers,1,4
mega645,01028,main,Main numbers,2,7
mega645,01028,main,Main numbers,3,27
mega645,01028,main,Main numbers,4,28
mega645,01028,main,Main numbers,5,32
mega645,01028,main,Main numbers,6,43
mega645,01029,main,Main numbers,1,8
mega645,01029,main,Main numbers,2,16
mega645,01029,main,Main numbers,3,23
mega645,01029,main,Main numbers,4,27
mega645,01029,main,Main numbers,5,32
mega645,01029,main,Main numbers,6,41
mega645,01030,main,Main numbers,1,8
mega645,01030,main,Main numbers,2,17
mega645,01030,main,Main numbers,3,20
mega645,01030,main,Main numbers,4,25
mega645,01030,main,Main numbers,5,33
mega645,01030,main,Main numbers,6,36
mega645,01031,main,Main numbers,1,10
mega645,01031,main,Main numbers,2,27
mega645,01031,main,Main numbers,3,37
mega645,01031,main,Main numbers,4,40
mega645,01031,main,Main numbers,5,42
mega645,01031,main,Main numbers,6,43
mega645,01032,main,Main numbers,1,2
mega645,01032,main,Main numbers,2,4
mega645,01032,main,Main numbers,3,7
mega645,01032,main,Main numbers,4,10
mega645,01032,main,Main numbers,5,20
mega645,01032,main,Main numbers,6,44
mega645,01033,main,Main numbers,1,1
mega645,01033,main,Main numbers,2,2
mega645,01033,main,Main numbers,3,22
mega645,01033,main,Main numbers,4,30
mega645,01033,main,Main numbers,5,37
mega645,01033,main,Main numbers,6,42
mega645,01034,main,Main numbers,1,1
mega645,01034,main,Main numbers,2,4
mega645,01034,main,Main numbers,3,7
mega645,01034,main,Main numbers,4,9
mega645,01034,main,Main numbers,5,34
mega645,01034,main,Main numbers,6,37
mega645,01035,main,Main numbers,1,5
mega645,01035,main,Main numbers,2,11
mega645,01035,main,Main numbers,3,25
mega645,01035,main,Main numbers,4,33
mega645,01035,main,Main numbers,5,42
mega645,01035,main,Main numbers,6,44
mega645,01036,main,Main numbers,1,7
mega645,01036,main,Main numbers,2,9
mega645,01036,main,Main numbers,3,23
mega645,01036,main,Main numbers,4,24
mega645,01036,main,Main numbers,5,33
mega645,01036,main,Main numbers,6,36
mega645,01037,main,Main numbers,1,18
mega645,01037,main,Main numbers,2,23
mega645,01037,main,Main numbers,3,28
mega645,01037,main,Main numbers,4,29
mega645,01037,main,Main numbers,5,39
mega645,01037,main,Main numbers,6,44
mega645,01038,main,Main numbers,1,22
mega645,01038,main,Main numbers,2,28
mega645,01038,main,Main numbers,3,31
mega645,01038,main,Main numbers,4,35
mega645,01038,main,Main numbers,5,36
mega645,01038,main,Main numbers,6,38
mega645,01039,main,Main numbers,1,4
mega645,01039,main,Main numbers,2,30
mega645,01039,main,Main numbers,3,31
mega645,01039,main,Main numbers,4,33
mega645,01039,main,Main numbers,5,35
mega645,01039,main,Main numbers,6,45
mega645,01040,main,Main numbers,1,7
mega645,01040,main,Main numbers,2,8
mega645,01040,main,Main numbers,3,9
mega645,01040,main,Main numbers,4,13
mega645,01040,main,Main numbers,5,15
mega645,01040,main,Main numbers,6,27
mega645,01041,main,Main numbers,1,2
mega645,01041,main,Main numbers,2,6
mega645,01041,main,Main numbers,3,8
mega645,01041,main,Main numbers,4,9
mega645,01041,main,Main numbers,5,15
mega645,01041,main,Main numbers,6,27
mega645,01042,main,Main numbers,1,7
mega645,01042,main,Main numbers,2,8
mega645,01042,main,Main numbers,3,13
mega645,01042,main,Main numbers,4,37
mega645,01042,main,Main numbers,5,42
mega645,01042,main,Main numbers,6,44
mega645,01043,main,Main numbers,1,2
mega645,01043,main,Main numbers,2,6
mega645,01043,main,Main numbers,3,13
mega645,01043,main,Main numbers,4,20
mega645,01043,main,Main numbers,5,28
mega645,01043,main,Main numbers,6,44
mega645,01044,main,Main numbers,1,3
mega645,01044,main,Main numbers,2,9
mega645,01044,main,Main numbers,3,10
mega645,01044,main,Main numbers,4,27
mega645,01044,main,Main numbers,5,35
mega645,01044,main,Main numbers,6,38
mega645,01045,main,Main numbers,1,8
mega645,01045,main,Main numbers,2,10
mega645,01045,main,Main numbers,3,17
mega645,01045,main,Main numbers,4,19
mega645,01045,main,Main numbers,5,24
mega645,01045,main,Main numbers,6,41
mega645,01046,main,Main numbers,1,9
mega645,01046,main,Main numbers,2,11
mega645,01046,main,Main numbers,3,15
mega645,01046,main,Main numbers,4,28
mega645,01046,main,Main numbers,5,33
mega645,01046,main,Main numbers,6,44
mega645,01047,main,Main numbers,1,8
mega645,01047,main,Main numbers,2,10
mega645,01047,main,Main numbers,3,19
mega645,01047,main,Main numbers,4,25
mega645,01047,main,Main numbers,5,35
mega645,01047,main,Main numbers,6,44
mega645,01048,main,Main numbers,1,6
mega645,01048,main,Main numbers,2,13
mega645,01048,main,Main numbers,3,19
mega645,01048,main,Main numbers,4,20
mega645,01048,main,Main numbers,5,37
mega645,01048,main,Main numbers,6,44
mega645,01049,main,Main numbers,1,4
mega645,01049,main,Main numbers,2,9
mega645,01049,main,Main numbers,3,10
mega645,01049,main,Main numbers,4,22
mega645,01049,main,Main numbers,5,41
mega645,01049,main,Main numbers,6,44
mega645,01050,main,Main numbers,1,3
mega645,01050,main,Main numbers,2,11
mega645,01050,main,Main numbers,3,14
mega645,01050,main,Main numbers,4,19
mega645,01050,main,Main numbers,5,21
mega645,01050,main,Main numbers,6,43
mega645,01051,main,Main numbers,1,3
mega645,01051,main,Main numbers,2,15
mega645,01051,main,Main numbers,3,19
mega645,01051,main,Main numbers,4,35
mega645,01051,main,Main numbers,5,36
mega645,01051,main,Main numbers,6,43
mega645,01052,main,Main numbers,1,1
mega645,01052,main,Main numbers,2,7
mega645,01052,main,Main numbers,3,14
mega645,01052,main,Main numbers,4,16
mega645,01052,main,Main numbers,5,34
mega645,01052,main,Main numbers,6,44
mega645,01053,main,Main numbers,1,15
mega645,01053,main,Main numbers,2,16
mega645,01053,main,Main numbers,3,23
mega645,01053,main,Main numbers,4,25
mega645,01053,main,Main numbers,5,40
mega645,01053,main,Main numbers,6,41
mega645,01054,main,Main numbers,1,5
