game,draw_id,draw_date,draw_time,draw_slot,result_kind,main_numbers,bonus_numbers,source_url,source_sha256,retrieved_at
lotto535,00790,2026-07-28,,,number_set,7 12 20 21 26,9,https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00790&nocatche=1,67fe545bc13a29adf59f0becc19d5d691854407c4fd5003accc23cf0786b43f4,2026-08-01T12:40:23+00:00
lotto535,00791,2026-07-29,13:00:00,afternoon,number_set,11 15 19 22 25,5,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00791&nocatche=1,d4997d0bf138199e0796cc9ddd6d6acbd939496e8c1664f8b7a73430495094a6,2026-08-02T05:38:34+00:00
lotto535,00792,2026-07-29,21:00:00,night,number_set,19 20 22 29 35,3,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00792&nocatche=1,a53700a64c6a0dd3649e92e9a1fa19d2c73e7502376420e034686fa721440c76,2026-08-02T05:38:34+00:00
lotto535,00793,2026-07-30,13:00:00,afternoon,number_set,4 10 11 16 18,3,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00793&nocatche=1,a2ced29647d07408c7091fc072b826df566be6d5341528eec8372c4b25bc7d4c,2026-08-02T05:38:34+00:00
lotto535,00794,2026-07-30,21:00:00,night,number_set,5 12 24 28 34,3,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00794&nocatche=1,1438953485f491b7020904af131231d045c55ac99fb505464316b67b99b278f1,2026-08-02T05:38:34+00:00
lotto535,00795,2026-07-31,13:00:00,afternoon,number_set,2 21 27 28 33,3,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00795&nocatche=1,5c507f4017fe58a99f0098ca84706c9f7bca4a82334bea7190e860b553451ea0,2026-08-02T05:38:33+00:00
lotto535,00796,2026-07-31,21:00:00,night,number_set,15 17 21 28 29,8,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00796&nocatche=1,af3315b79f6fe27c91efe4ceac3434c15d69db035afd7b8ffdd53379aa7efd7a,2026-08-02T05:38:33+00:00
lotto535,00797,2026-08-01,13:00:00,afternoon,number_set,5 8 13 32 34,4,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00797&nocatche=1,41ca66d49330eb626c40759dfa9e293a6167b6a36787fa024a11f1eb29860ae0,2026-08-02T05:38:33+00:00
lotto535,00798,2026-08-01,21:00:00,night,number_set,6 9 20 23 33,10,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00798&nocatche=1,320451140d6526863694192c09786df8f58e91f7dcd56169de32b03e28ad8ac0,2026-08-02T05:38:33+00:00
lotto535,00799,2026-08-02,13:00:00,afternoon,number_set,7 9 32 33 35,9,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00799&nocatche=1,2f4375548359cea1aeb652ae26be24b07346ba12565cb140c26b9c3e7d739540,2026-08-02T15:11:04+00:00
lotto535,00800,2026-08-02,21:00:00,night,number_set,11 18 26 28 31,12,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/535?id=00800&nocatche=1,d87c213054c6f8e0e9033b89ddd7af120f293aff6ee4d47613cea0a1d6a0e86c,2026-08-02T15:11:05+00:00
