game,draw_id,prize_code,prize_name,amount_vnd,winner_count,jackpot_vnd
lotto535,00001,giai-doc-dac,Giải Độc Đắc,,0,6112312500
lotto535,00001,giai-nhat,Giải Nhất,10000000,0,
lotto535,00001,giai-nhi,Giải Nhì,5000000,13,
lotto535,00001,giai-ba,Giải Ba,500000,118,
lotto535,00001,giai-tu,Giải Tư,100000,285,
lotto535,00001,giai-nam,Giải Năm,30000,2921,
lotto535,00001,giai-khuyen-khich,Giải Khuyến Khích,10000,19563,
lotto535,00002,giai-doc-dac,Giải Độc Đắc,,0,6231295000
lotto535,00002,giai-nhat,Giải Nhất,10000000,1,
lotto535,00002,giai-nhi,Giải Nhì,5000000,13,
lotto535,00002,giai-ba,Giải Ba,500000,135,
lotto535,00002,giai-tu,Giải Tư,100000,445,
lotto535,00002,giai-nam,Giải Năm,30000,3799,
lotto535,00002,giai-khuyen-khich,Giải Khuyến Khích,10000,25564,
lotto535,00003,giai-doc-dac,Giải Độc Đắc,,0,6315905000
lotto535,00003,giai-nhat,Giải Nhất,10000000,0,
lotto535,00003,giai-nhi,Giải Nhì,5000000,8,
lotto535,00003,giai-ba,Giải Ba,500000,67,
lotto535,00003,giai-tu,Giải Tư,100000,137,
lotto535,00003,giai-nam,Giải Năm,30000,1589,
lotto535,00003,giai-khuyen-khich,Giải Khuyến Khích,10000,10859,
lotto535,00004,giai-doc-dac,Giải Độc Đắc,,0,6518352500
lotto535,00004,giai-nhat,Giải Nhất,10000000,1,
lotto535,00004,giai-nhi,Giải Nhì,5000000,10,
lotto535,00004,giai-ba,Giải Ba,500000,108,
lotto535,00004,giai-tu,Giải Tư,100000,380,
lotto535,00004,giai-nam,Giải Năm,30000,3158,
lotto535,00004,giai-khuyen-khich,Giải Khuyến Khích,10000,27453,
lotto535,00005,giai-doc-dac,Giải Độc Đắc,,0,6676525000
lotto535,00005,giai-nhat,Giải Nhất,10000000,0,
lotto535,00005,giai-nhi,Giải Nhì,5000000,5,
lotto535,00005,giai-ba,Giải Ba,500000,59,
lotto535,00005,giai-tu,Giải Tư,100000,243,
lotto535,00005,giai-nam,Giải Năm,30000,2145,
lotto535,00005,giai-khuyen-khich,Giải Khuyến Khích,10000,18483,
lotto535,00006,giai-doc-dac,Giải Độc Đắc,,0,6828647500
lotto535,00006,giai-nhat,Giải Nhất,10000000,1,
lotto535,00006,giai-nhi,Giải Nhì,5000000,9,
lotto535,00006,giai-ba,Giải Ba,500000,79,
lotto535,00006,giai-tu,Giải Tư,100000,228,
lotto535,00006,giai-nam,Giải Năm,30000,2517,
lotto535,00006,giai-khuyen-khich,Giải Khuyến Khích,10000,17677,
lotto535,00007,giai-doc-dac,Giải Độc Đắc,,0,7041500000
lotto535,00007,giai-nhat,Giải Nhất,10000000,0,
lotto535,00007,giai-nhi,Giải Nhì,5000000,4,
lotto535,00007,giai-ba,Giải Ba,500000,60,
lotto535,00007,giai-tu,Giải Tư,100000,121,
lotto535,00007,giai-nam,Giải Năm,30000,2088,
lotto535,00007,giai-khuyen-khich,Giải Khuyến Khích,10000,9865,
lotto535,00008,giai-doc-dac,Giải Độc Đắc,,0,7220340000
lotto535,00008,giai-nhat,Giải Nhất,10000000,1,
lotto535,00008,giai-nhi,Giải Nhì,5000000,8,
lotto535,00008,giai-ba,Giải Ba,500000,104,
lotto535,00008,giai-tu,Giải Tư,100000,273,
lotto535,00008,giai-nam,Giải Năm,30000,2940,
lotto535,00008,giai-khuyen-khich,Giải Khuyến Khích,10000,20984,
lotto535,00009,giai-doc-dac,Giải Độc Đắc,,0,7338985000
lotto535,00009,giai-nhat,Giải Nhất,10000000,0,
lotto535,00009,giai-nhi,Giải Nhì,5000000,8,
lotto535,00009,giai-ba,Giải Ba,500000,74,
lotto535,00009,giai-tu,Giải Tư,100000,149,
lotto535,00009,giai-nam,Giải Năm,30000,1547,
lotto535,00009,giai-khuyen-khich,Giải Khuyến Khích,10000,16332,
lotto535,00010,giai-doc-dac,Giải Độc Đắc,,0,7823994000
lotto535,00010,giai-nhat,Giải Nhất,10000000,0,
lotto535,00010,giai-nhi,Giải Nhì,5000000,7,
lotto535,00010,giai-ba,Giải Ba,500000,60,
lotto535,00010,giai-tu,Giải Tư,100000,279,
lotto535,00010,giai-nam,Giải Năm,30000,2484,
lotto535,00010,giai-khuyen-khich,Giải Khuyến Khích,10000,21519,
lotto535,00011,giai-doc-dac,Giải Độc Đắc,,0,8447751000
lotto535,00011,giai-nhat,Giải Nhất,10000000,1,
lotto535,00011,giai-nhi,Giải Nhì,5000000,9,
lotto535,00011,giai-ba,Giải Ba,500000,71,
lotto535,00011,giai-tu,Giải Tư,100000,167,
lotto535,00011,giai-nam,Giải Năm,30000,2050,
lotto535,00011,giai-khuyen-khich,Giải Khuyến Khích,10000,15560,
lotto535,00012,giai-doc-dac,Giải Độc Đắc,,0,9358476500
lotto535,00012,giai-nhat,Giải Nhất,10000000,0,
lotto535,00012,giai-nhi,Giải Nhì,5000000,9,
lotto535,00012,giai-ba,Giải Ba,500000,95,
lotto535,00012,giai-tu,Giải Tư,100000,212,
lotto535,00012,giai-nam,Giải Năm,30000,2723,
lotto535,00012,giai-khuyen-khich,Giải Khuyến Khích,10000,19673,
lotto535,00013,giai-doc-dac,Giải Độc Đắc,,1,9927763500
lotto535,00013,giai-nhat,Giải Nhất,10000000,2,
lotto535,00013,giai-nhi,Giải Nhì,5000000,13,
lotto535,00013,giai-ba,Giải Ba,500000,77,
lotto535,00013,giai-tu,Giải Tư,100000,230,
lotto535,00013,giai-nam,Giải Năm,30000,2028,
lotto535,00013,giai-khuyen-khich,Giải Khuyến Khích,10000,15251,
lotto535,00014,giai-doc-dac,Giải Độc Đắc,,0,6144617500
lotto535,00014,giai-nhat,Giải Nhất,10000000,0,
lotto535,00014,giai-nhi,Giải Nhì,5000000,1,
lotto535,00014,giai-ba,Giải Ba,500000,82,
lotto535,00014,giai-tu,Giải Tư,100000,317,
lotto535,00014,giai-nam,Giải Năm,30000,2466,
lotto535,00014,giai-khuyen-khich,Giải Khuyến Khích,10000,20244,
lotto535,00015,giai-doc-dac,Giải Độc Đắc,,0,6229997500
lotto535,00015,giai-nhat,Giải Nhất,10000000,1,
lotto535,00015,giai-nhi,Giải Nhì,5000000,6,
lotto535,00015,giai-ba,Giải Ba,500000,67,
lotto535,00015,giai-tu,Giải Tư,100000,158,
lotto535,00015,giai-nam,Giải Năm,30000,2064,
lotto535,00015,giai-khuyen-khich,Giải Khuyến Khích,10000,11323,
lotto535,00016,giai-doc-dac,Giải Độc Đắc,,1,6387757500
lotto535,00016,giai-nhat,Giải Nhất,10000000,0,
lotto535,00016,giai-nhi,Giải Nhì,5000000,7,
lotto535,00016,giai-ba,Giải Ba,500000,94,
lotto535,00016,giai-tu,Giải Tư,100000,255,
lotto535,00016,giai-nam,Giải Năm,30000,2703,
lotto535,00016,giai-khuyen-khich,Giải Khuyến Khích,10000,18339,
lotto535,00017,giai-doc-dac,Giải Độc Đắc,,0,6149305000
lotto535,00017,giai-nhat,Giải Nhất,10000000,0,
lotto535,00017,giai-nhi,Giải Nhì,5000000,6,
lotto535,00017,giai-ba,Giải Ba,500000,64,
lotto535,00017,giai-tu,Giải Tư,100000,209,
lotto535,00017,giai-nam,Giải Năm,30000,2157,
lotto535,00017,giai-khuyen-khich,Giải Khuyến Khích,10000,16518,
lotto535,00018,giai-doc-dac,Giải Độc Đắc,,0,6330475000
lotto535,00018,giai-nhat,Giải Nhất,10000000,1,
lotto535,00018,giai-nhi,Giải Nhì,5000000,7,
lotto535,00018,giai-ba,Giải Ba,500000,85,
lotto535,00018,giai-tu,Giải Tư,100000,363,
lotto535,00018,giai-nam,Giải Năm,30000,3190,
lotto535,00018,giai-khuyen-khich,Giải Khuyến Khích,10000,26306,
lotto535,00019,giai-doc-dac,Giải Độc Đắc,,0,6463680000
lotto535,00019,giai-nhat,Giải Nhất,10000000,0,
lotto535,00019,giai-nhi,Giải Nhì,5000000,8,
lotto535,00019,giai-ba,Giải Ba,500000,68,
lotto535,00019,giai-tu,Giải Tư,100000,200,
lotto535,00019,giai-nam,Giải Năm,30000,2153,
lotto535,00019,giai-khuyen-khich,Giải Khuyến Khích,10000,15717,
lotto535,00020,giai-doc-dac,Giải Độc Đắc,,0,6686805000
lotto535,00020,giai-nhat,Giải Nhất,10000000,0,
lotto535,00020,giai-nhi,Giải Nhì,5000000,3,
lotto535,00020,giai-ba,Giải Ba,500000,109,
lotto535,00020,giai-tu,Giải Tư,100000,238,
lotto535,00020,giai-nam,Giải Năm,30000,2870,
lotto535,00020,giai-khuyen-khich,Giải Khuyến Khích,10000,15970,
lotto535,00021,giai-doc-dac,Giải Độc Đắc,,0,6870452500
lotto535,00021,giai-nhat,Giải Nhất,10000000,2,
lotto535,00021,giai-nhi,Giải Nhì,5000000,8,
lotto535,00021,giai-ba,Giải Ba,500000,65,
lotto535,00021,giai-tu,Giải Tư,100000,159,
lotto535,00021,giai-nam,Giải Năm,30000,1876,
lotto535,00021,giai-khuyen-khich,Giải Khuyến Khích,10000,11463,
lotto535,00022,giai-doc-dac,Giải Độc Đắc,,0,7142920000
lotto535,00022,giai-nhat,Giải Nhất,10000000,0,
lotto535,00022,giai-nhi,Giải Nhì,5000000,7,
lotto535,00022,giai-ba,Giải Ba,500000,77,
lotto535,00022,giai-tu,Giải Tư,100000,192,
lotto535,00022,giai-nam,Giải Năm,30000,2745,
lotto535,00022,giai-khuyen-khich,Giải Khuyến Khích,10000,13600,
lotto535,00023,giai-doc-dac,Giải Độc Đắc,,0,7288255000
lotto535,00023,giai-nhat,Giải Nhất,10000000,1,
lotto535,00023,giai-nhi,Giải Nhì,5000000,4,
lotto535,00023,giai-ba,Giải Ba,500000,66,
lotto535,00023,giai-tu,Giải Tư,100000,172,
lotto535,00023,giai-nam,Giải Năm,30000,1980,
lotto535,00023,giai-khuyen-khich,Giải Khuyến Khích,10000,14525,
lotto535,00024,giai-doc-dac,Giải Độc Đắc,,0,7449222500
lotto535,00024,giai-nhat,Giải Nhất,10000000,0,
lotto535,00024,giai-nhi,Giải Nhì,5000000,6,
lotto535,00024,giai-ba,Giải Ba,500000,76,
lotto535,00024,giai-tu,Giải Tư,100000,258,
lotto535,00024,giai-nam,Giải Năm,30000,2568,
lotto535,00024,giai-khuyen-khich,Giải Khuyến Khích,10000,21221,
lotto535,00025,giai-doc-dac,Giải Độc Đắc,,0,7625090000
lotto535,00025,giai-nhat,Giải Nhất,10000000,1,
lotto535,00025,giai-nhi,Giải Nhì,5000000,7,
lotto535,00025,giai-ba,Giải Ba,500000,94,
lotto535,00025,giai-tu,Giải Tư,100000,171,
lotto535,00025,giai-nam,Giải Năm,30000,2718,
lotto535,00025,giai-khuyen-khich,Giải Khuyến Khích,10000,9724,
lotto535,00026,giai-doc-dac,Giải Độc Đắc,,0,7815150000
lotto535,00026,giai-nhat,Giải Nhất,10000000,1,
lotto535,00026,giai-nhi,Giải Nhì,5000000,2,
lotto535,00026,giai-ba,Giải Ba,500000,94,
lotto535,00026,giai-tu,Giải Tư,100000,253,
lotto535,00026,giai-nam,Giải Năm,30000,2733,
lotto535,00026,giai-khuyen-khich,Giải Khuyến Khích,10000,24517,
lotto535,00027,giai-doc-dac,Giải Độc Đắc,,0,7962020000
lotto535,00027,giai-nhat,Giải Nhất,10000000,0,
lotto535,00027,giai-nhi,Giải Nhì,5000000,7,
lotto535,00027,giai-ba,Giải Ba,500000,51,
