game,draw_id,draw_date,draw_time,draw_slot,result_kind,main_numbers,bonus_numbers,source_url,source_sha256,retrieved_at
max3d,00001,2019-04-22,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00001&nocatche=1,8b0fb34e41eb578c6146f24a686355dd28cd0053c37a61529005c4a584c5943c,2026-08-07T20:10:21+00:00
max3d,00002,2019-04-24,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00002&nocatche=1,de13d3741e388d4b78ff10ae74eb736b14530142d42e72fb763c0af8402b680d,2026-08-07T20:10:33+00:00
max3d,00003,2019-04-26,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00003&nocatche=1,9da11207fa0d05361ca9a08274046876a9e01f571bdf542ef57b6a8db2ae4909,2026-08-07T20:10:31+00:00
max3d,00004,2019-04-29,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00004&nocatche=1,e14d88e9605cd7ec4d5076cefd1b0054901ca26f13337206106d091cfee99756,2026-08-07T20:10:37+00:00
max3d,00005,2019-05-01,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00005&nocatche=1,43adefc90aeac223aff91d8feee8391583f11a0d9dda437a6263cc3a557be8db,2026-08-07T20:10:30+00:00
max3d,00006,2019-05-03,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00006&nocatche=1,eb98cff2650866689601527b4b930a03c9c7b88230a893f48dc95f343cccd1af,2026-08-07T20:10:37+00:00
max3d,00007,2019-05-06,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00007&nocatche=1,4361f4fb85d24b8f450750b1a031cfb84138e3ed3cc8514e80a5121239a8dad1,2026-08-07T20:10:30+00:00
max3d,00008,2019-05-08,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00008&nocatche=1,c2e70d29b1b04d315884c424ef07687a3ddca42fb6caaf50524adb6882254552,2026-08-07T20:10:29+00:00
max3d,00009,2019-05-10,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00009&nocatche=1,969a1226a749d185971cfd2dfc0b281dc52c4fd3a965314f48a12c9eac14cc7f,2026-08-07T20:10:28+00:00
max3d,00010,2019-05-13,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00010&nocatche=1,13aa93fafa9fc8454de24a986818a008665393a50438b7cfaf1b47bd4fa73f83,2026-08-07T20:10:21+00:00
max3d,00011,2019-05-15,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00011&nocatche=1,82eb8485e6f664dc175b0b79cb610830d32939d657f9308374aa337befb05e7f,2026-08-07T20:10:20+00:00
max3d,00012,2019-05-17,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00012&nocatche=1,16ab7dbba5b779280257516f213d4f8a2c10cdcd5dbc14c8da0fcb94cdb680c5,2026-08-07T20:10:19+00:00
max3d,00013,2019-05-20,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00013&nocatche=1,e0349ba0f8e1f00dea12a3ee4f8e7630bade1658b32d098826bbc47134750ccf,2026-08-07T20:10:18+00:00
max3d,00014,2019-05-22,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00014&nocatche=1,45abfe065f0e41c534fde853ee1bdde231a903ee3dda53a965e5dd2186292535,2026-08-07T20:10:28+00:00
max3d,00015,2019-05-24,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00015&nocatche=1,bd5f8993c2a421a311fac4f32c95f36583ac4701984878260fe6fa21e5b4ada7,2026-08-07T20:10:28+00:00
max3d,00016,2019-05-27,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00016&nocatche=1,948405306257122cbb30d7576dedc11c9d46126d994a0aafd37ce2a6529d6795,2026-08-07T20:10:14+00:00
max3d,00017,2019-05-29,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00017&nocatche=1,f194981038c01bc8929211c73cecdace3a8d126550dc8fcea1e331e8d49ca686,2026-08-07T20:10:14+00:00
max3d,00018,2019-05-31,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00018&nocatche=1,99ae2623090006c01314d51f5953ed45ec7791530042851573af34018994c0f2,2026-08-07T20:10:10+00:00
max3d,00019,2019-06-03,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00019&nocatche=1,9f0e0df2eada1a55171587cd83e1aa0452453f8fe32b4444497707ba896693da,2026-08-07T20:10:10+00:00
max3d,00020,2019-06-05,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00020&nocatche=1,e0bd145e0354ba7e1d70553150672c2b77299293ad88391f136dc8159358eb53,2026-08-07T20:10:09+00:00
max3d,00021,2019-06-07,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00021&nocatche=1,22be625cf704cb9c34a88aeccc08c15afc1d12aaa1a3cff84c3e51678c3a2682,2026-08-07T20:10:09+00:00
max3d,00022,2019-06-10,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00022&nocatche=1,5dcfbb324f2ba241bbceebd38763491d1934a7e40ddadafb39f75b3bc4ab2bae,2026-08-07T20:10:08+00:00
max3d,00023,2019-06-12,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00023&nocatche=1,df398db1153ebddaf89b9dbccb3bfa922d6a082e64ad9409fce9e7b5a5eabf6e,2026-08-07T20:10:08+00:00
max3d,00024,2019-06-14,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00024&nocatche=1,52f9c5fe10ad7654ab66805e6c2593af59a2077ff7dc173a3e33b97ada26a9ea,2026-08-07T20:10:07+00:00
max3d,00025,2019-06-17,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00025&nocatche=1,31ea41634aa8aaaf2a6d7a1e1238c3a02714bd90e1a20cf789ffc5dec23b9d22,2026-08-07T20:10:14+00:00
max3d,00026,2019-06-19,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00026&nocatche=1,917de4dfe88fc05a1f24522cbdebdba5d15ae7a18ba092992db5518db4979c56,2026-08-07T20:10:10+00:00
max3d,00027,2019-06-21,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00027&nocatche=1,cd0ff238f127c91941f1e9fa4a9b90c248fe211b73e20b7279964790dd831a02,2026-08-07T20:10:06+00:00
max3d,00028,2019-06-24,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00028&nocatche=1,92193d505fb8763e26bee9fa8a774dde2d566d5968e6f6ca3c35c1e65a921c06,2026-08-07T20:10:07+00:00
max3d,00029,2019-06-26,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00029&nocatche=1,9a5085e36b87014967ba0379de891d882cf09b95651c98f66ce7398925d253c2,2026-08-07T20:10:02+00:00
max3d,00030,2019-06-28,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00030&nocatche=1,3ceeb9d9b50ef83466b19ffb4ce64532ef943a2fa1ccb35403a5b6e7ddf871fa,2026-08-07T20:10:06+00:00
max3d,00031,2019-07-01,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00031&nocatche=1,cde69ba01a2d3efb92ec615b14201f5b2fc94b7ddcec981748e994500e0a3b5d,2026-08-07T20:10:05+00:00
max3d,00032,2019-07-03,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00032&nocatche=1,5010669cbfc34562b9e58de61a78b5e5275f9bfc7a391382a4bd3e62a54bcb48,2026-08-07T20:10:01+00:00
max3d,00033,2019-07-05,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00033&nocatche=1,65814028a559d78367a4062790889b4440b07754e7f38e7abd0d4fe30d54306e,2026-08-07T20:09:59+00:00
max3d,00034,2019-07-08,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00034&nocatche=1,d250fa074417931b5a810c5f37662707020f09337523fdae503400cdbec0e13a,2026-08-07T20:10:02+00:00
max3d,00035,2019-07-10,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00035&nocatche=1,f87d8e6db5e76788b2b9bfe61e94152e5fa4efe59215c88eece86e3272bcf1ea,2026-08-07T20:09:58+00:00
max3d,00036,2019-07-12,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00036&nocatche=1,06262c1eddac409e1d7ae4b5527108644781bddc085983a6cdee48548a4269c2,2026-08-07T20:10:01+00:00
max3d,00037,2019-07-15,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00037&nocatche=1,a25251f4a882b7698899f933ade9969a96cea0771bc3b0a70a8192569caefc26,2026-08-07T20:09:55+00:00
max3d,00038,2019-07-17,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00038&nocatche=1,f92fb43b083fbfb65f2e1959117919da2167244ebb7eb483c92ba0f343be5a8e,2026-08-07T20:09:56+00:00
max3d,00039,2019-07-19,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00039&nocatche=1,4ae5ff6de453b924b42c24f8a3ebc25c91da2ac01f4571912915aaad9afb08af,2026-08-07T20:09:52+00:00
max3d,00040,2019-07-22,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00040&nocatche=1,2e03eac5f647d766af8e91dba987ac28cefc7685469f22893e4e5d70406e8b6f,2026-08-07T20:09:57+00:00
max3d,00041,2019-07-24,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00041&nocatche=1,c284abfcaee51caf2807ae1622e31bd55e598e50977e8957391297b88476538b,2026-08-07T20:09:51+00:00
max3d,00042,2019-07-26,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00042&nocatche=1,68491d71e58bb1f4fcea0e625dec1836b4216f8282ed6dd53c1f509aa8997668,2026-08-07T20:09:57+00:00
max3d,00043,2019-07-29,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00043&nocatche=1,e5db283107184b3fc0a147c3613785e9b3031802bedeb3aefaf336e7f8f769d1,2026-08-07T20:10:00+00:00
max3d,00044,2019-07-31,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00044&nocatche=1,e196260d7dbd00296172d1722e5114f3f7d8bcf03179fbc5ce0c7670dc7961d2,2026-08-07T20:09:57+00:00
max3d,00045,2019-08-02,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00045&nocatche=1,0930028d2adb3bd1fc1861938198ef622edb739dd9efa5537268942f8b5f9c7b,2026-08-07T20:09:56+00:00
max3d,00046,2019-08-05,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00046&nocatche=1,c93a096605a68ac42a425158887ff06e8e88a83193466663390ac09ec3e89c11,2026-08-07T20:09:56+00:00
max3d,00047,2019-08-07,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00047&nocatche=1,90267c9d8428731a0825b4ca0154b645be1789b66545635897b2c036d80ae77c,2026-08-07T20:09:50+00:00
max3d,00048,2019-08-09,18:00:00,evening,three_digit_tiers,,,https://www.vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00048&nocatche=1,7ba5160ded6a0d50a7b59c28f8f2dd118aa1cf38a94bb94fc5672ef39db4f5f1,2026-08-07T20:09:55+00:00
