game,draw_id,tier_code,tier_name,ordinal,number
max3d,00864,special,Giải Đặc biệt,1,776
max3d,00864,special,Giải Đặc biệt,2,991
max3d,00864,first,Giải Nhất,1,043
max3d,00864,first,Giải Nhất,2,152
max3d,00864,first,Giải Nhất,3,542
max3d,00864,first,Giải Nhất,4,229
max3d,00864,second,Giải Nhì,1,024
max3d,00864,second,Giải Nhì,2,574
max3d,00864,second,Giải Nhì,3,503
max3d,00864,second,Giải Nhì,4,931
max3d,00864,second,Giải Nhì,5,389
max3d,00864,second,Giải Nhì,6,808
max3d,00864,third,Giải Ba,1,155
max3d,00864,third,Giải Ba,2,014
max3d,00864,third,Giải Ba,3,155
max3d,00864,third,Giải Ba,4,875
max3d,00864,third,Giải Ba,5,938
max3d,00864,third,Giải Ba,6,624
max3d,00864,third,Giải Ba,7,943
max3d,00864,third,Giải Ba,8,442
max3d,00865,special,Giải Đặc biệt,1,993
max3d,00865,special,Giải Đặc biệt,2,904
max3d,00865,first,Giải Nhất,1,612
max3d,00865,first,Giải Nhất,2,469
max3d,00865,first,Giải Nhất,3,236
max3d,00865,first,Giải Nhất,4,931
max3d,00865,second,Giải Nhì,1,884
max3d,00865,second,Giải Nhì,2,604
max3d,00865,second,Giải Nhì,3,230
max3d,00865,second,Giải Nhì,4,772
max3d,00865,second,Giải Nhì,5,793
max3d,00865,second,Giải Nhì,6,466
max3d,00865,third,Giải Ba,1,257
max3d,00865,third,Giải Ba,2,541
max3d,00865,third,Giải Ba,3,176
max3d,00865,third,Giải Ba,4,480
max3d,00865,third,Giải Ba,5,707
max3d,00865,third,Giải Ba,6,591
max3d,00865,third,Giải Ba,7,672
max3d,00865,third,Giải Ba,8,538
max3d,00866,special,Giải Đặc biệt,1,593
max3d,00866,special,Giải Đặc biệt,2,436
max3d,00866,first,Giải Nhất,1,350
max3d,00866,first,Giải Nhất,2,367
max3d,00866,first,Giải Nhất,3,186
max3d,00866,first,Giải Nhất,4,212
max3d,00866,second,Giải Nhì,1,191
max3d,00866,second,Giải Nhì,2,248
max3d,00866,second,Giải Nhì,3,600
max3d,00866,second,Giải Nhì,4,936
max3d,00866,second,Giải Nhì,5,094
max3d,00866,second,Giải Nhì,6,762
max3d,00866,third,Giải Ba,1,100
max3d,00866,third,Giải Ba,2,788
max3d,00866,third,Giải Ba,3,749
max3d,00866,third,Giải Ba,4,181
max3d,00866,third,Giải Ba,5,538
max3d,00866,third,Giải Ba,6,120
max3d,00866,third,Giải Ba,7,538
max3d,00866,third,Giải Ba,8,325
max3d,00867,special,Giải Đặc biệt,1,822
max3d,00867,special,Giải Đặc biệt,2,961
max3d,00867,first,Giải Nhất,1,477
max3d,00867,first,Giải Nhất,2,754
max3d,00867,first,Giải Nhất,3,377
max3d,00867,first,Giải Nhất,4,056
max3d,00867,second,Giải Nhì,1,303
max3d,00867,second,Giải Nhì,2,520
max3d,00867,second,Giải Nhì,3,218
max3d,00867,second,Giải Nhì,4,817
max3d,00867,second,Giải Nhì,5,675
max3d,00867,second,Giải Nhì,6,045
max3d,00867,third,Giải Ba,1,989
max3d,00867,third,Giải Ba,2,690
max3d,00867,third,Giải Ba,3,400
max3d,00867,third,Giải Ba,4,807
max3d,00867,third,Giải Ba,5,656
max3d,00867,third,Giải Ba,6,593
max3d,00867,third,Giải Ba,7,683
max3d,00867,third,Giải Ba,8,570
max3d,00868,special,Giải Đặc biệt,1,833
max3d,00868,special,Giải Đặc biệt,2,085
max3d,00868,first,Giải Nhất,1,547
max3d,00868,first,Giải Nhất,2,101
max3d,00868,first,Giải Nhất,3,501
max3d,00868,first,Giải Nhất,4,684
max3d,00868,second,Giải Nhì,1,682
max3d,00868,second,Giải Nhì,2,131
max3d,00868,second,Giải Nhì,3,461
max3d,00868,second,Giải Nhì,4,442
max3d,00868,second,Giải Nhì,5,069
max3d,00868,second,Giải Nhì,6,869
max3d,00868,third,Giải Ba,1,638
max3d,00868,third,Giải Ba,2,055
max3d,00868,third,Giải Ba,3,127
max3d,00868,third,Giải Ba,4,980
max3d,00868,third,Giải Ba,5,432
max3d,00868,third,Giải Ba,6,165
max3d,00868,third,Giải Ba,7,752
max3d,00868,third,Giải Ba,8,834
max3d,00869,special,Giải Đặc biệt,1,599
max3d,00869,special,Giải Đặc biệt,2,780
max3d,00869,first,Giải Nhất,1,361
max3d,00869,first,Giải Nhất,2,788
max3d,00869,first,Giải Nhất,3,147
max3d,00869,first,Giải Nhất,4,009
max3d,00869,second,Giải Nhì,1,318
max3d,00869,second,Giải Nhì,2,520
max3d,00869,second,Giải Nhì,3,032
max3d,00869,second,Giải Nhì,4,914
max3d,00869,second,Giải Nhì,5,951
max3d,00869,second,Giải Nhì,6,544
max3d,00869,third,Giải Ba,1,929
max3d,00869,third,Giải Ba,2,460
max3d,00869,third,Giải Ba,3,825
max3d,00869,third,Giải Ba,4,954
max3d,00869,third,Giải Ba,5,093
max3d,00869,third,Giải Ba,6,153
max3d,00869,third,Giải Ba,7,349
max3d,00869,third,Giải Ba,8,211
max3d,00870,special,Giải Đặc biệt,1,593
max3d,00870,special,Giải Đặc biệt,2,115
max3d,00870,first,Giải Nhất,1,610
max3d,00870,first,Giải Nhất,2,552
max3d,00870,first,Giải Nhất,3,965
max3d,00870,first,Giải Nhất,4,880
max3d,00870,second,Giải Nhì,1,108
max3d,00870,second,Giải Nhì,2,677
max3d,00870,second,Giải Nhì,3,557
max3d,00870,second,Giải Nhì,4,468
max3d,00870,second,Giải Nhì,5,416
max3d,00870,second,Giải Nhì,6,580
max3d,00870,third,Giải Ba,1,585
max3d,00870,third,Giải Ba,2,440
max3d,00870,third,Giải Ba,3,721
max3d,00870,third,Giải Ba,4,695
max3d,00870,third,Giải Ba,5,227
max3d,00870,third,Giải Ba,6,200
max3d,00870,third,Giải Ba,7,896
max3d,00870,third,Giải Ba,8,215
max3d,00871,special,Giải Đặc biệt,1,102
max3d,00871,special,Giải Đặc biệt,2,321
max3d,00871,first,Giải Nhất,1,446
max3d,00871,first,Giải Nhất,2,221
max3d,00871,first,Giải Nhất,3,111
max3d,00871,first,Giải Nhất,4,811
max3d,00871,second,Giải Nhì,1,711
max3d,00871,second,Giải Nhì,2,301
max3d,00871,second,Giải Nhì,3,594
max3d,00871,second,Giải Nhì,4,527
max3d,00871,second,Giải Nhì,5,602
max3d,00871,second,Giải Nhì,6,479
max3d,00871,third,Giải Ba,1,723
max3d,00871,third,Giải Ba,2,219
max3d,00871,third,Giải Ba,3,872
max3d,00871,third,Giải Ba,4,077
max3d,00871,third,Giải Ba,5,320
max3d,00871,third,Giải Ba,6,719
max3d,00871,third,Giải Ba,7,842
max3d,00871,third,Giải Ba,8,217
max3d,00872,special,Giải Đặc biệt,1,617
max3d,00872,special,Giải Đặc biệt,2,558
max3d,00872,first,Giải Nhất,1,680
max3d,00872,first,Giải Nhất,2,491
max3d,00872,first,Giải Nhất,3,432
max3d,00872,first,Giải Nhất,4,764
max3d,00872,second,Giải Nhì,1,819
max3d,00872,second,Giải Nhì,2,202
max3d,00872,second,Giải Nhì,3,544
max3d,00872,second,Giải Nhì,4,902
max3d,00872,second,Giải Nhì,5,347
max3d,00872,second,Giải Nhì,6,414
max3d,00872,third,Giải Ba,1,766
max3d,00872,third,Giải Ba,2,546
max3d,00872,third,Giải Ba,3,062
max3d,00872,third,Giải Ba,4,148
max3d,00872,third,Giải Ba,5,670
max3d,00872,third,Giải Ba,6,499
max3d,00872,third,Giải Ba,7,108
max3d,00872,third,Giải Ba,8,781
max3d,00873,special,Giải Đặc biệt,1,734
max3d,00873,special,Giải Đặc biệt,2,420
max3d,00873,first,Giải Nhất,1,324
max3d,00873,first,Giải Nhất,2,179
max3d,00873,first,Giải Nhất,3,213
max3d,00873,first,Giải Nhất,4,037
max3d,00873,second,Giải Nhì,1,768
max3d,00873,second,Giải Nhì,2,475
max3d,00873,second,Giải Nhì,3,080
max3d,00873,second,Giải Nhì,4,173
max3d,00873,second,Giải Nhì,5,684
max3d,00873,second,Giải Nhì,6,383
max3d,00873,third,Giải Ba,1,666
max3d,00873,third,Giải Ba,2,539
max3d,00873,third,Giải Ba,3,739
max3d,00873,third,Giải Ba,4,050
max3d,00873,third,Giải Ba,5,072
max3d,00873,third,Giải Ba,6,659
max3d,00873,third,Giải Ba,7,133
max3d,00873,third,Giải Ba,8,925
max3d,00874,special,Giải Đặc biệt,1,227
max3d,00874,special,Giải Đặc biệt,2,591
max3d,00874,first,Giải Nhất,1,431
max3d,00874,first,Giải Nhất,2,443
max3d,00874,first,Giải Nhất,3,067
max3d,00874,first,Giải Nhất,4,769
max3d,00874,second,Giải Nhì,1,848
max3d,00874,second,Giải Nhì,2,164
max3d,00874,second,Giải Nhì,3,957
max3d,00874,second,Giải Nhì,4,342
max3d,00874,second,Giải Nhì,5,585
max3d,00874,second,Giải Nhì,6,935
max3d,00874,third,Giải Ba,1,598
max3d,00874,third,Giải Ba,2,515
max3d,00874,third,Giải Ba,3,290
max3d,00874,third,Giải Ba,4,483
max3d,00874,third,Giải Ba,5,463
max3d,00874,third,Giải Ba,6,047
max3d,00874,third,Giải Ba,7,739
max3d,00874,third,Giải Ba,8,554
