game,draw_id,prize_code,prize_name,amount_vnd,winner_count,jackpot_vnd
max3d_pro,00511,giai-dac-biet,Giải Đặc biệt,2000000000,,
max3d_pro,00511,giai-phu-dac-biet,Giải phụ Đặc biệt,400000000,,
max3d_pro,00511,giai-nhat,Giải Nhất,30000000,,
max3d_pro,00511,giai-nhi,Giải Nhì,10000000,,
max3d_pro,00511,giai-ba,Giải Ba,4000000,,
max3d_pro,00511,giai-tu,Giải tư,1000000,,
max3d_pro,00511,giai-nam,Giải năm,100000,,
max3d_pro,00511,giai-sau,Giải sáu,40000,,
max3d_pro,00512,giai-dac-biet,Giải Đặc biệt,2000000000,,
max3d_pro,00512,giai-phu-dac-biet,Giải phụ Đặc biệt,400000000,,
max3d_pro,00512,giai-nhat,Giải Nhất,30000000,,
max3d_pro,00512,giai-nhi,Giải Nhì,10000000,,
max3d_pro,00512,giai-ba,Giải Ba,4000000,,
max3d_pro,00512,giai-tu,Giải tư,1000000,,
max3d_pro,00512,giai-nam,Giải năm,100000,,
max3d_pro,00512,giai-sau,Giải sáu,40000,,
max3d_pro,00513,giai-dac-biet,Giải Đặc biệt,2000000000,,
max3d_pro,00513,giai-phu-dac-biet,Giải phụ Đặc biệt,400000000,,
max3d_pro,00513,giai-nhat,Giải Nhất,30000000,,
max3d_pro,00513,giai-nhi,Giải Nhì,10000000,,
max3d_pro,00513,giai-ba,Giải Ba,4000000,,
max3d_pro,00513,giai-tu,Giải tư,1000000,,
max3d_pro,00513,giai-nam,Giải năm,100000,,
max3d_pro,00513,giai-sau,Giải sáu,40000,,
max3d_pro,00514,giai-dac-biet,Giải Đặc biệt,2000000000,,
max3d_pro,00514,giai-phu-dac-biet,Giải phụ Đặc biệt,400000000,,
max3d_pro,00514,giai-nhat,Giải Nhất,30000000,,
max3d_pro,00514,giai-nhi,Giải Nhì,10000000,,
max3d_pro,00514,giai-ba,Giải Ba,4000000,,
max3d_pro,00514,giai-tu,Giải tư,1000000,,
max3d_pro,00514,giai-nam,Giải năm,100000,,
max3d_pro,00514,giai-sau,Giải sáu,40000,,
