game,draw_id,tier_code,tier_name,ordinal,number
max3d_pro,00012,special,Giải Đặc biệt,1,134
max3d_pro,00012,special,Giải Đặc biệt,2,575
max3d_pro,00012,first,Giải Nhất,1,152
max3d_pro,00012,first,Giải Nhất,2,208
max3d_pro,00012,first,Giải Nhất,3,728
max3d_pro,00012,first,Giải Nhất,4,041
max3d_pro,00012,second,Giải Nhì,1,203
max3d_pro,00012,second,Giải Nhì,2,110
max3d_pro,00012,second,Giải Nhì,3,979
max3d_pro,00012,second,Giải Nhì,4,334
max3d_pro,00012,second,Giải Nhì,5,928
max3d_pro,00012,second,Giải Nhì,6,482
max3d_pro,00012,third,Giải Ba,1,730
max3d_pro,00012,third,Giải Ba,2,098
max3d_pro,00012,third,Giải Ba,3,836
max3d_pro,00012,third,Giải Ba,4,366
max3d_pro,00012,third,Giải Ba,5,484
max3d_pro,00012,third,Giải Ba,6,551
max3d_pro,00012,third,Giải Ba,7,460
max3d_pro,00012,third,Giải Ba,8,118
max3d_pro,00013,special,Giải Đặc biệt,1,232
max3d_pro,00013,special,Giải Đặc biệt,2,426
max3d_pro,00013,first,Giải Nhất,1,021
max3d_pro,00013,first,Giải Nhất,2,626
max3d_pro,00013,first,Giải Nhất,3,628
max3d_pro,00013,first,Giải Nhất,4,436
max3d_pro,00013,second,Giải Nhì,1,297
max3d_pro,00013,second,Giải Nhì,2,269
max3d_pro,00013,second,Giải Nhì,3,073
max3d_pro,00013,second,Giải Nhì,4,208
max3d_pro,00013,second,Giải Nhì,5,335
max3d_pro,00013,second,Giải Nhì,6,026
max3d_pro,00013,third,Giải Ba,1,865
max3d_pro,00013,third,Giải Ba,2,463
max3d_pro,00013,third,Giải Ba,3,554
max3d_pro,00013,third,Giải Ba,4,679
max3d_pro,00013,third,Giải Ba,5,515
max3d_pro,00013,third,Giải Ba,6,538
max3d_pro,00013,third,Giải Ba,7,407
max3d_pro,00013,third,Giải Ba,8,967
max3d_pro,00014,special,Giải Đặc biệt,1,744
max3d_pro,00014,special,Giải Đặc biệt,2,066
max3d_pro,00014,first,Giải Nhất,1,290
max3d_pro,00014,first,Giải Nhất,2,881
max3d_pro,00014,first,Giải Nhất,3,830
max3d_pro,00014,first,Giải Nhất,4,513
max3d_pro,00014,second,Giải Nhì,1,776
max3d_pro,00014,second,Giải Nhì,2,270
max3d_pro,00014,second,Giải Nhì,3,787
max3d_pro,00014,second,Giải Nhì,4,212
max3d_pro,00014,second,Giải Nhì,5,352
