game,draw_id,prize_code,prize_name,amount_vnd,winner_count,jackpot_vnd
mega645,01025,jackpot,Jackpot,,0,54938892500
mega645,01025,giai-nhat,Giải Nhất,10000000,30,
mega645,01025,giai-nhi,Giải Nhì,300000,1930,
mega645,01025,giai-ba,Giải Ba,30000,33216,
mega645,01026,jackpot,Jackpot,,0,60536720500
mega645,01026,giai-nhat,Giải Nhất,10000000,36,
mega645,01026,giai-nhi,Giải Nhì,300000,1980,
mega645,01026,giai-ba,Giải Ba,30000,31965,
mega645,01027,jackpot,Jackpot,,0,66446394500
mega645,01027,giai-nhat,Giải Nhất,10000000,43,
mega645,01027,giai-nhi,Giải Nhì,300000,1828,
mega645,01027,giai-ba,Giải Ba,30000,30263,
mega645,01028,jackpot,Jackpot,,1,73078715000
mega645,01028,giai-nhat,Giải Nhất,10000000,55,
mega645,01028,giai-nhi,Giải Nhì,300000,2255,
mega645,01028,giai-ba,Giải Ba,30000,37366,
mega645,01029,jackpot,Jackpot,,0,13246272000
mega645,01029,giai-nhat,Giải Nhất,10000000,21,
mega645,01029,giai-nhi,Giải Nhì,300000,881,
mega645,01029,giai-ba,Giải Ba,30000,13685,
mega645,01030,jackpot,Jackpot,,0,14643306500
mega645,01030,giai-nhat,Giải Nhất,10000000,16,
mega645,01030,giai-nhi,Giải Nhì,300000,798,
mega645,01030,giai-ba,Giải Ba,30000,13972,
mega645,01031,jackpot,Jackpot,,0,16176335500
mega645,01031,giai-nhat,Giải Nhất,10000000,18,
mega645,01031,giai-nhi,Giải Nhì,300000,841,
mega645,01031,giai-ba,Giải Ba,30000,14209,
mega645,01032,jackpot,Jackpot,,0,17515644500
mega645,01032,giai-nhat,Giải Nhất,10000000,29,
mega645,01032,giai-nhi,Giải Nhì,300000,1041,
mega645,01032,giai-ba,Giải Ba,30000,16969,
mega645,01033,jackpot,Jackpot,,0,19213526500
mega645,01033,giai-nhat,Giải Nhất,10000000,13,
mega645,01033,giai-nhi,Giải Nhì,300000,812,
mega645,01033,giai-ba,Giải Ba,30000,14000,
mega645,01034,jackpot,Jackpot,,0,21021341500
mega645,01034,giai-nhat,Giải Nhất,10000000,10,
mega645,01034,giai-nhi,Giải Nhì,300000,1009,
mega645,01034,giai-ba,Giải Ba,30000,16636,
mega645,01035,jackpot,Jackpot,,0,22579217000
mega645,01035,giai-nhat,Giải Nhất,10000000,34,
mega645,01035,giai-nhi,Giải Nhì,300000,1271,
mega645,01035,giai-ba,Giải Ba,30000,18291,
mega645,01036,jackpot,Jackpot,,0,24181232000
mega645,01036,giai-nhat,Giải Nhất,10000000,29,
mega645,01036,giai-nhi,Giải Nhì,300000,943,
mega645,01036,giai-ba,Giải Ba,30000,16992,
mega645,01037,jackpot,Jackpot,,0,26803933500
mega645,01037,giai-nhat,Giải Nhất,10000000,20,
mega645,01037,giai-nhi,Giải Nhì,300000,1151,
mega645,01037,giai-ba,Giải Ba,30000,17973,
mega645,01038,jackpot,Jackpot,,0,30465327500
mega645,01038,giai-nhat,Giải Nhất,10000000,14,
mega645,01038,giai-nhi,Giải Nhì,300000,1020,
mega645,01038,giai-ba,Giải Ba,30000,17752,
mega645,01039,jackpot,Jackpot,,0,34598123000
mega645,01039,giai-nhat,Giải Nhất,10000000,20,
mega645,01039,giai-nhi,Giải Nhì,300000,1025,
mega645,01039,giai-ba,Giải Ba,30000,18130,
mega645,01040,jackpot,Jackpot,,0,38480580500
mega645,01040,giai-nhat,Giải Nhất,10000000,26,
mega645,01040,giai-nhi,Giải Nhì,300000,1593,
mega645,01040,giai-ba,Giải Ba,30000,25476,
mega645,01041,jackpot,Jackpot,,0,42229126500
mega645,01041,giai-nhat,Giải Nhất,10000000,44,
mega645,01041,giai-nhi,Giải Nhì,300000,1650,
mega645,01041,giai-ba,Giải Ba,30000,24317,
mega645,01042,jackpot,Jackpot,,0,46700646500
mega645,01042,giai-nhat,Giải Nhất,10000000,18,
mega645,01042,giai-nhi,Giải Nhì,300000,1347,
mega645,01042,giai-ba,Giải Ba,30000,23862,
mega645,01043,jackpot,Jackpot,,0,52007827500
mega645,01043,giai-nhat,Giải Nhất,10000000,42,
mega645,01043,giai-nhi,Giải Nhì,300000,1593,
mega645,01043,giai-ba,Giải Ba,30000,27413,
mega645,01044,jackpot,Jackpot,,0,57421891500
mega645,01044,giai-nhat,Giải Nhất,10000000,39,
mega645,01044,giai-nhi,Giải Nhì,300000,1920,
mega645,01044,giai-ba,Giải Ba,30000,32035,
mega645,01045,jackpot,Jackpot,,0,62996443000
mega645,01045,giai-nhat,Giải Nhất,10000000,33,
mega645,01045,giai-nhi,Giải Nhì,300000,1828,
mega645,01045,giai-ba,Giải Ba,30000,31645,
mega645,01046,jackpot,Jackpot,,0,69074823500
mega645,01046,giai-nhat,Giải Nhất,10000000,73,
mega645,01046,giai-nhi,Giải Nhì,300000,2689,
mega645,01046,giai-ba,Giải Ba,30000,41076,
mega645,01047,jackpot,Jackpot,,3,25029626667
mega645,01047,giai-nhat,Giải Nhất,10000000,87,
mega645,01047,giai-nhi,Giải Nhì,300000,2817,
mega645,01047,giai-ba,Giải Ba,30000,41078,
mega645,01048,jackpot,Jackpot,,0,13230312000
mega645,01048,giai-nhat,Giải Nhất,10000000,22,
mega645,01048,giai-nhi,Giải Nhì,300000,921,
mega645,01048,giai-ba,Giải Ba,30000,14312,
mega645,01049,jackpot,Jackpot,,0,14537298000
mega645,01049,giai-nhat,Giải Nhất,10000000,24,
mega645,01049,giai-nhi,Giải Nhì,300000,921,
mega645,01049,giai-ba,Giải Ba,30000,15416,
mega645,01050,jackpot,Jackpot,,1,15897330000
mega645,01050,giai-nhat,Giải Nhất,10000000,16,
mega645,01050,giai-nhi,Giải Nhì,300000,991,
mega645,01050,giai-ba,Giải Ba,30000,15166,
mega645,01051,jackpot,Jackpot,,0,13233555500
mega645,01051,giai-nhat,Giải Nhất,10000000,19,
mega645,01051,giai-nhi,Giải Nhì,300000,843,
mega645,01051,giai-ba,Giải Ba,30000,13135,
mega645,01052,jackpot,Jackpot,,0,14678190500
mega645,01052,giai-nhat,Giải Nhất,10000000,16,
mega645,01052,giai-nhi,Giải Nhì,300000,846,
mega645,01052,giai-ba,Giải Ba,30000,14316,
mega645,01053,jackpot,Jackpot,,0,16259386500
mega645,01053,giai-nhat,Giải Nhất,10000000,11,
mega645,01053,giai-nhi,Giải Nhì,300000,689,
mega645,01053,giai-ba,Giải Ba,30000,12670,
mega645,01054,jackpot,Jackpot,,0,17836752000
mega645,01054,giai-nhat,Giải Nhất,10000000,12,
mega645,01054,giai-nhi,Giải Nhì,300000,833,
mega645,01054,giai-ba,Giải Ba,30000,14398,
mega645,01055,jackpot,Jackpot,,0,19452645000
mega645,01055,giai-nhat,Giải Nhất,10000000,26,
mega645,01055,giai-nhi,Giải Nhì,300000,840,
mega645,01055,giai-ba,Giải Ba,30000,14904,
mega645,01056,jackpot,Jackpot,,0,21207310000
mega645,01056,giai-nhat,Giải Nhất,10000000,18,
mega645,01056,giai-nhi,Giải Nhì,300000,752,
