game,draw_id,tier_code,tier_name,ordinal,number
mega645,00001,main,Main numbers,1,2
mega645,00001,main,Main numbers,2,17
mega645,00001,main,Main numbers,3,33
mega645,00001,main,Main numbers,4,37
mega645,00001,main,Main numbers,5,38
mega645,00001,main,Main numbers,6,45
mega645,00002,main,Main numbers,1,3
mega645,00002,main,Main numbers,2,4
mega645,00002,main,Main numbers,3,14
mega645,00002,main,Main numbers,4,20
mega645,00002,main,Main numbers,5,25
mega645,00002,main,Main numbers,6,35
mega645,00003,main,Main numbers,1,1
mega645,00003,main,Main numbers,2,10
mega645,00003,main,Main numbers,3,16
mega645,00003,main,Main numbers,4,18
mega645,00003,main,Main numbers,5,23
mega645,00003,main,Main numbers,6,38
mega645,00004,main,Main numbers,1,14
mega645,00004,main,Main numbers,2,17
mega645,00004,main,Main numbers,3,21
mega645,00004,main,Main numbers,4,25
mega645,00004,main,Main numbers,5,31
mega645,00004,main,Main numbers,6,37
mega645,00005,main,Main numbers,1,3
mega645,00005,main,Main numbers,2,8
mega645,00005,main,Main numbers,3,13
mega645,00005,main,Main numbers,4,20
mega645,00005,main,Main numbers,5,30
mega645,00005,main,Main numbers,6,36
mega645,00006,main,Main numbers,1,2
mega645,00006,main,Main numbers,2,6
mega645,00006,main,Main numbers,3,19
mega645,00006,main,Main numbers,4,21
mega645,00006,main,Main numbers,5,35
mega645,00006,main,Main numbers,6,39
mega645,00007,main,Main numbers,1,7
mega645,00007,main,Main numbers,2,10
mega645,00007,main,Main numbers,3,25
mega645,00007,main,Main numbers,4,27
mega645,00007,main,Main numbers,5,29
mega645,00007,main,Main numbers,6,40
mega645,00008,main,Main numbers,1,3
mega645,00008,main,Main numbers,2,9
mega645,00008,main,Main numbers,3,13
mega645,00008,main,Main numbers,4,18
mega645,00008,main,Main numbers,5,24
mega645,00008,main,Main numbers,6,31
mega645,00009,main,Main numbers,1,3
mega645,00009,main,Main numbers,2,5
mega645,00009,main,Main numbers,3,17
mega645,00009,main,Main numbers,4,22
mega645,00009,main,Main numbers,5,30
mega645,00009,main,Main numbers,6,31
mega645,00010,main,Main numbers,1,6
mega645,00010,main,Main numbers,2,15
mega645,00010,main,Main numbers,3,16
mega645,00010,main,Main numbers,4,19
mega645,00010,main,Main numbers,5,27
mega645,00010,main,Main numbers,6,30
mega645,00011,main,Main numbers,1,28
mega645,00011,main,Main numbers,2,31
mega645,00011,main,Main numbers,3,34
mega645,00011,main,Main numbers,4,37
mega645,00011,main,Main numbers,5,38
mega645,00011,main,Main numbers,6,41
mega645,00012,main,Main numbers,1,13
mega645,00012,main,Main numbers,2,16
mega645,00012,main,Main numbers,3,17
mega645,00012,main,Main numbers,4,29
mega645,00012,main,Main numbers,5,31
mega645,00012,main,Main numbers,6,37
mega645,00013,main,Main numbers,1,2
mega645,00013,main,Main numbers,2,4
mega645,00013,main,Main numbers,3,9
mega645,00013,main,Main numbers,4,19
mega645,00013,main,Main numbers,5,21
mega645,00013,main,Main numbers,6,26
mega645,00014,main,Main numbers,1,11
mega645,00014,main,Main numbers,2,12
mega645,00014,main,Main numbers,3,17
mega645,00014,main,Main numbers,4,33
mega645,00014,main,Main numbers,5,34
mega645,00014,main,Main numbers,6,36
mega645,00015,main,Main numbers,1,13
mega645,00015,main,Main numbers,2,21
mega645,00015,main,Main numbers,3,24
mega645,00015,main,Main numbers,4,25
mega645,00015,main,Main numbers,5,29
mega645,00015,main,Main numbers,6,44
mega645,00016,main,Main numbers,1,8
mega645,00016,main,Main numbers,2,17
mega645,00016,main,Main numbers,3,21
mega645,00016,main,Main numbers,4,23
mega645,00016,main,Main numbers,5,36
mega645,00016,main,Main numbers,6,40
mega645,00017,main,Main numbers,1,10
mega645,00017,main,Main numbers,2,36
mega645,00017,main,Main numbers,3,39
mega645,00017,main,Main numbers,4,43
mega645,00017,main,Main numbers,5,44
mega645,00017,main,Main numbers,6,45
mega645,00018,main,Main numbers,1,4
mega645,00018,main,Main numbers,2,6
mega645,00018,main,Main numbers,3,10
mega645,00018,main,Main numbers,4,15
mega645,00018,main,Main numbers,5,16
mega645,00018,main,Main numbers,6,44
mega645,00019,main,Main numbers,1,8
mega645,00019,main,Main numbers,2,20
mega645,00019,main,Main numbers,3,21
mega645,00019,main,Main numbers,4,31
mega645,00019,main,Main numbers,5,34
mega645,00019,main,Main numbers,6,39
mega645,00020,main,Main numbers,1,9
mega645,00020,main,Main numbers,2,13
mega645,00020,main,Main numbers,3,24
mega645,00020,main,Main numbers,4,35
mega645,00020,main,Main numbers,5,36
mega645,00020,main,Main numbers,6,41
mega645,00021,main,Main numbers,1,11
mega645,00021,main,Main numbers,2,15
mega645,00021,main,Main numbers,3,20
mega645,00021,main,Main numbers,4,24
mega645,00021,main,Main numbers,5,27
mega645,00021,main,Main numbers,6,45
mega645,00022,main,Main numbers,1,6
mega645,00022,main,Main numbers,2,8
mega645,00022,main,Main numbers,3,12
mega645,00022,main,Main numbers,4,13
mega645,00022,main,Main numbers,5,15
mega645,00022,main,Main numbers,6,19
mega645,00023,main,Main numbers,1,7
mega645,00023,main,Main numbers,2,13
mega645,00023,main,Main numbers,3,16
mega645,00023,main,Main numbers,4,18
mega645,00023,main,Main numbers,5,31
mega645,00023,main,Main numbers,6,32
mega645,00024,main,Main numbers,1,6
mega645,00024,main,Main numbers,2,9
mega645,00024,main,Main numbers,3,10
mega645,00024,main,Main numbers,4,18
mega645,00024,main,Main numbers,5,20
mega645,00024,main,Main numbers,6,31
mega645,00025,main,Main numbers,1,2
mega645,00025,main,Main numbers,2,11
mega645,00025,main,Main numbers,3,14
mega645,00025,main,Main numbers,4,23
mega645,00025,main,Main numbers,5,25
mega645,00025,main,Main numbers,6,32
mega645,00026,main,Main numbers,1,4
mega645,00026,main,Main numbers,2,5
mega645,00026,main,Main numbers,3,6
mega645,00026,main,Main numbers,4,23
mega645,00026,main,Main numbers,5,31
mega645,00026,main,Main numbers,6,34
mega645,00027,main,Main numbers,1,7
mega645,00027,main,Main numbers,2,10
mega645,00027,main,Main numbers,3,17
mega645,00027,main,Main numbers,4,20
mega645,00027,main,Main numbers,5,25
mega645,00027,main,Main numbers,6,32
mega645,00028,main,Main numbers,1,5
mega645,00028,main,Main numbers,2,12
mega645,00028,main,Main numbers,3,15
mega645,00028,main,Main numbers,4,30
mega645,00028,main,Main numbers,5,37
mega645,00028,main,Main numbers,6,41
mega645,00029,main,Main numbers,1,8
mega645,00029,main,Main numbers,2,14
mega645,00029,main,Main numbers,3,19
mega645,00029,main,Main numbers,4,29
mega645,00029,main,Main numbers,5,30
mega645,00029,main,Main numbers,6,40
mega645,00030,main,Main numbers,1,1
mega645,00030,main,Main numbers,2,20
mega645,00030,main,Main numbers,3,28
mega645,00030,main,Main numbers,4,32
mega645,00030,main,Main numbers,5,42
mega645,00030,main,Main numbers,6,44
mega645,00031,main,Main numbers,1,3
mega645,00031,main,Main numbers,2,6
mega645,00031,main,Main numbers,3,17
mega645,00031,main,Main numbers,4,21
mega645,00031,main,Main numbers,5,32
mega645,00031,main,Main numbers,6,40
mega645,00032,main,Main numbers,1,6
mega645,00032,main,Main numbers,2,20
mega645,00032,main,Main numbers,3,30
mega645,00032,main,Main numbers,4,38
mega645,00032,main,Main numbers,5,40
mega645,00032,main,Main numbers,6,45
mega645,00033,main,Main numbers,1,16
mega645,00033,main,Main numbers,2,23
mega645,00033,main,Main numbers,3,27
mega645,00033,main,Main numbers,4,34
mega645,00033,main,Main numbers,5,35
mega645,00033,main,Main numbers,6,38
mega645,00034,main,Main numbers,1,5
mega645,00034,main,Main numbers,2,6
mega645,00034,main,Main numbers,3,19
mega645,00034,main,Main numbers,4,31
mega645,00034,main,Main numbers,5,42
