game,draw_id,prize_code,prize_name,amount_vnd,winner_count,jackpot_vnd
power655,00884,jackpot-1,Jackpot 1,,0,38990916300
power655,00884,jackpot-2,Jackpot 2,,0,3509591950
power655,00884,giai-nhat,Giải Nhất,40000000,15,
power655,00884,giai-nhi,Giải Nhì,500000,679,
power655,00884,giai-ba,Giải Ba,50000,12314,
power655,00885,jackpot-1,Jackpot 1,,0,41223910350
power655,00885,jackpot-2,Jackpot 2,,0,3757702400
power655,00885,giai-nhat,Giải Nhất,40000000,3,
power655,00885,giai-nhi,Giải Nhì,500000,498,
power655,00885,giai-ba,Giải Ba,50000,10897,
power655,00886,jackpot-1,Jackpot 1,,0,43522243950
power655,00886,jackpot-2,Jackpot 2,,0,4013072800
power655,00886,giai-nhat,Giải Nhất,40000000,2,
power655,00886,giai-nhi,Giải Nhì,500000,379,
power655,00886,giai-ba,Giải Ba,50000,9437,
power655,00887,jackpot-1,Jackpot 1,,0,45597828900
power655,00887,jackpot-2,Jackpot 2,,0,4243693350
power655,00887,giai-nhat,Giải Nhất,40000000,9,
power655,00887,giai-nhi,Giải Nhì,500000,538,
power655,00887,giai-ba,Giải Ba,50000,12190,
power655,00888,jackpot-1,Jackpot 1,,0,48285119100
power655,00888,jackpot-2,Jackpot 2,,0,4542281150
power655,00888,giai-nhat,Giải Nhất,40000000,4,
power655,00888,giai-nhi,Giải Nhì,500000,628,
power655,00888,giai-ba,Giải Ba,50000,14040,
power655,00889,jackpot-1,Jackpot 1,,0,50491951050
power655,00889,jackpot-2,Jackpot 2,,0,4787484700
power655,00889,giai-nhat,Giải Nhất,40000000,11,
power655,00889,giai-nhi,Giải Nhì,500000,582,
power655,00889,giai-ba,Giải Ba,50000,13574,
power655,00890,jackpot-1,Jackpot 1,,0,52877718300
power655,00890,jackpot-2,Jackpot 2,,0,5052569950
power655,00890,giai-nhat,Giải Nhất,40000000,12,
power655,00890,giai-nhi,Giải Nhì,500000,639,
power655,00890,giai-ba,Giải Ba,50000,14350,
power655,00891,jackpot-1,Jackpot 1,,0,55603213950
power655,00891,jackpot-2,Jackpot 2,,0,5355402800
power655,00891,giai-nhat,Giải Nhất,40000000,8,
power655,00891,giai-nhi,Giải Nhì,500000,787,
power655,00891,giai-ba,Giải Ba,50000,16587,
power655,00892,jackpot-1,Jackpot 1,,0,58005385050
power655,00892,jackpot-2,Jackpot 2,,1,5622310700
power655,00892,giai-nhat,Giải Nhất,40000000,10,
power655,00892,giai-nhi,Giải Nhì,500000,764,
power655,00892,giai-ba,Giải Ba,50000,16805,
power655,00893,jackpot-1,Jackpot 1,,0,60314116350
power655,00893,jackpot-2,Jackpot 2,,1,3256525700
power655,00893,giai-nhat,Giải Nhất,40000000,14,
power655,00893,giai-nhi,Giải Nhì,500000,718,
power655,00893,giai-ba,Giải Ba,50000,15575,
power655,00894,jackpot-1,Jackpot 1,,0,63040925550
power655,00894,jackpot-2,Jackpot 2,,0,3302978800
power655,00894,giai-nhat,Giải Nhất,40000000,14,
power655,00894,giai-nhi,Giải Nhì,500000,875,
power655,00894,giai-ba,Giải Ba,50000,18957,
power655,00895,jackpot-1,Jackpot 1,,0,65034265800
power655,00895,jackpot-2,Jackpot 2,,0,3524461050
power655,00895,giai-nhat,Giải Nhất,40000000,26,
power655,00895,giai-nhi,Giải Nhì,500000,1188,
power655,00895,giai-ba,Giải Ba,50000,18961,
power655,00896,jackpot-1,Jackpot 1,,0,66932714550
power655,00896,jackpot-2,Jackpot 2,,1,3735399800
power655,00896,giai-nhat,Giải Nhất,40000000,30,
power655,00896,giai-nhi,Giải Nhì,500000,1352,
power655,00896,giai-ba,Giải Ba,50000,21521,
power655,00897,jackpot-1,Jackpot 1,,0,69936872700
power655,00897,jackpot-2,Jackpot 2,,0,3333795350
power655,00897,giai-nhat,Giải Nhất,40000000,17,
power655,00897,giai-nhi,Giải Nhì,500000,996,
power655,00897,giai-ba,Giải Ba,50000,22626,
power655,00898,jackpot-1,Jackpot 1,,0,72625274850
power655,00898,jackpot-2,Jackpot 2,,0,3632506700
power655,00898,giai-nhat,Giải Nhất,40000000,16,
power655,00898,giai-nhi,Giải Nhì,500000,777,
power655,00898,giai-ba,Giải Ba,50000,16859,
power655,00899,jackpot-1,Jackpot 1,,0,77160756450
power655,00899,jackpot-2,Jackpot 2,,1,4136449100
power655,00899,giai-nhat,Giải Nhất,40000000,14,
power655,00899,giai-nhi,Giải Nhì,500000,789,
power655,00899,giai-ba,Giải Ba,50000,17825,
power655,00900,jackpot-1,Jackpot 1,,0,80894008650
power655,00900,jackpot-2,Jackpot 2,,0,3414805800
power655,00900,giai-nhat,Giải Nhất,40000000,9,
power655,00900,giai-nhi,Giải Nhì,500000,1007,
power655,00900,giai-ba,Giải Ba,50000,21759,
power655,00901,jackpot-1,Jackpot 1,,0,86968735500
power655,00901,jackpot-2,Jackpot 2,,0,4089775450
power655,00901,giai-nhat,Giải Nhất,40000000,19,
power655,00901,giai-nhi,Giải Nhì,500000,1118,
power655,00901,giai-ba,Giải Ba,50000,22091,
power655,00902,jackpot-1,Jackpot 1,,0,93737419050
power655,00902,jackpot-2,Jackpot 2,,0,4841851400
power655,00902,giai-nhat,Giải Nhất,40000000,16,
power655,00902,giai-nhi,Giải Nhì,500000,1190,
power655,00902,giai-ba,Giải Ba,50000,25814,
power655,00903,jackpot-1,Jackpot 1,,0,103333058400
power655,00903,jackpot-2,Jackpot 2,,1,5908033550
power655,00903,giai-nhat,Giải Nhất,40000000,10,
power655,00903,giai-nhi,Giải Nhì,500000,987,
power655,00903,giai-ba,Giải Ba,50000,23666,
power655,00904,jackpot-1,Jackpot 1,,0,109923542850
power655,00904,jackpot-2,Jackpot 2,,0,3732276050
power655,00904,giai-nhat,Giải Nhất,40000000,16,
power655,00904,giai-nhi,Giải Nhì,500000,1227,
power655,00904,giai-ba,Giải Ba,50000,27339,
power655,00905,jackpot-1,Jackpot 1,,0,119322221250
power655,00905,jackpot-2,Jackpot 2,,0,4776573650
power655,00905,giai-nhat,Giải Nhất,40000000,15,
power655,00905,giai-nhi,Giải Nhì,500000,1372,
power655,00905,giai-ba,Giải Ba,50000,28126,
power655,00906,jackpot-1,Jackpot 1,,0,129014374350
power655,00906,jackpot-2,Jackpot 2,,0,5853479550
