game,draw_id,tier_code,tier_name,ordinal,number
power655,00884,main,Main numbers,1,4
power655,00884,main,Main numbers,2,6
power655,00884,main,Main numbers,3,8
power655,00884,main,Main numbers,4,18
power655,00884,main,Main numbers,5,39
power655,00884,main,Main numbers,6,43
power655,00884,bonus,Bonus numbers,1,28
power655,00885,main,Main numbers,1,1
power655,00885,main,Main numbers,2,14
power655,00885,main,Main numbers,3,24
power655,00885,main,Main numbers,4,28
power655,00885,main,Main numbers,5,40
power655,00885,main,Main numbers,6,46
power655,00885,bonus,Bonus numbers,1,34
power655,00886,main,Main numbers,1,3
power655,00886,main,Main numbers,2,18
power655,00886,main,Main numbers,3,40
power655,00886,main,Main numbers,4,41
power655,00886,main,Main numbers,5,46
power655,00886,main,Main numbers,6,47
power655,00886,bonus,Bonus numbers,1,36
power655,00887,main,Main numbers,1,23
power655,00887,main,Main numbers,2,28
power655,00887,main,Main numbers,3,29
power655,00887,main,Main numbers,4,36
power655,00887,main,Main numbers,5,38
power655,00887,main,Main numbers,6,41
power655,00887,bonus,Bonus numbers,1,7
power655,00888,main,Main numbers,1,1
power655,00888,main,Main numbers,2,14
power655,00888,main,Main numbers,3,23
power655,00888,main,Main numbers,4,27
power655,00888,main,Main numbers,5,44
power655,00888,main,Main numbers,6,50
power655,00888,bonus,Bonus numbers,1,43
power655,00889,main,Main numbers,1,3
power655,00889,main,Main numbers,2,36
power655,00889,main,Main numbers,3,38
power655,00889,main,Main numbers,4,43
power655,00889,main,Main numbers,5,51
power655,00889,main,Main numbers,6,53
power655,00889,bonus,Bonus numbers,1,2
power655,00890,main,Main numbers,1,10
power655,00890,main,Main numbers,2,17
power655,00890,main,Main numbers,3,27
power655,00890,main,Main numbers,4,32
power655,00890,main,Main numbers,5,35
power655,00890,main,Main numbers,6,41
power655,00890,bonus,Bonus numbers,1,54
power655,00891,main,Main numbers,1,4
power655,00891,main,Main numbers,2,14
power655,00891,main,Main numbers,3,18
power655,00891,main,Main numbers,4,27
power655,00891,main,Main numbers,5,47
power655,00891,main,Main numbers,6,50
power655,00891,bonus,Bonus numbers,1,33
power655,00892,main,Main numbers,1,10
power655,00892,main,Main numbers,2,11
power655,00892,main,Main numbers,3,25
power655,00892,main,Main numbers,4,39
power655,00892,main,Main numbers,5,46
power655,00892,main,Main numbers,6,55
power655,00892,bonus,Bonus numbers,1,40
power655,00893,main,Main numbers,1,7
power655,00893,main,Main numbers,2,13
power655,00893,main,Main numbers,3,23
power655,00893,main,Main numbers,4,34
power655,00893,main,Main numbers,5,38
power655,00893,main,Main numbers,6,40
power655,00893,bonus,Bonus numbers,1,55
power655,00894,main,Main numbers,1,7
power655,00894,main,Main numbers,2,23
power655,00894,main,Main numbers,3,26
power655,00894,main,Main numbers,4,31
power655,00894,main,Main numbers,5,35
power655,00894,main,Main numbers,6,53
power655,00894,bonus,Bonus numbers,1,32
power655,00895,main,Main numbers,1,2
power655,00895,main,Main numbers,2,11
power655,00895,main,Main numbers,3,14
power655,00895,main,Main numbers,4,35
power655,00895,main,Main numbers,5,43
power655,00895,main,Main numbers,6,51
power655,00895,bonus,Bonus numbers,1,55
power655,00896,main,Main numbers,1,8
power655,00896,main,Main numbers,2,9
power655,00896,main,Main numbers,3,16
power655,00896,main,Main numbers,4,20
power655,00896,main,Main numbers,5,50
power655,00896,main,Main numbers,6,53
power655,00896,bonus,Bonus numbers,1,3
power655,00897,main,Main numbers,1,2
power655,00897,main,Main numbers,2,12
power655,00897,main,Main numbers,3,15
power655,00897,main,Main numbers,4,16
power655,00897,main,Main numbers,5,27
power655,00897,main,Main numbers,6,28
power655,00897,bonus,Bonus numbers,1,47
power655,00898,main,Main numbers,1,1
power655,00898,main,Main numbers,2,11
power655,00898,main,Main numbers,3,12
power655,00898,main,Main numbers,4,28
power655,00898,main,Main numbers,5,46
power655,00898,main,Main numbers,6,54
